DLiP-ID,C100IN
DLiP-Mol-ID,36501
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H17NO4/c1-11-7-8-14-13(9-11)18(17(19)22-14)10-12-5-4-6-15(20-2)16(12)21-3/h4-9H,10H2,1-3H3"
Standard Inchi Key(RDKit),XBYPJWBKHWLEOE-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(Cn2c(=O)oc3ccc(C)cc32)c1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),299.326
MW Monoisotopic(RDKit),299.115758024
MolLogP(RDKit),2.96842
XLogP(SDF),
XLogP(CDK),2.842
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),53.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.742957771295438
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
Common Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
RDKit Descriptors
Ipc,135769.5208666639
qed,0.7429577712954378
Chi0,15.689869965382487
Chi1,10.634560252985374
TPSA,53.60000000000001
Chi0n,12.751415153679714
Chi0v,12.751415153679714
Chi1n,6.936162866766332
Chi1v,6.936162866766332
Chi2n,5.07793869402485
Chi2v,5.07793869402485
Chi3n,3.635838208186595
Chi3v,3.635838208186595
Chi4n,2.570437316504438
Chi4v,2.570437316504438
MolMR,83.85900000000002
MolWt,299.3260000000001
fr_SH,0
Kappa1,14.255815398308938
Kappa2,5.596497895933772
Kappa3,2.3453166670410224
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,875.9865897543923
MolLogP,2.968420000000001
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.1287001194819237
SMR_VSA1,13.890876844653445
SMR_VSA2,0.0
SMR_VSA3,4.567099647791355
SMR_VSA4,0.0
