DLiP-ID,J100HG
DLiP-Mol-ID,37330
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H17N9S.ClH/c1-20(2)6-7-21-13(17-18-19-21)23-11-9-4-3-5-10(9)16-12-14-8-15-22(11)12;/h8H,3-7H2,1-2H3;1H"
Standard Inchi Key(RDKit),AGRSQQMLTCOIGX-UHFFFAOYSA-N
Canonical SMILES(RDKit),C[NH+](C)CCn1nnnc1Sc1c2c(nc3ncnn13)CCC2.[Cl-]
SMILES(SDF),
MW(SDF),
MW(RDKit),367.87
MW Monoisotopic(RDKit),367.109440256
MolLogP(RDKit),-4.1008
XLogP(SDF),
XLogP(CDK),0.719
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.458262045462076
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,385227.9860510047
qed,0.4582620454620755
Chi0,15.81119030894213
Chi1,11.220346690612276
TPSA,91.12
Chi0n,13.476805702595122
Chi0v,15.049231229541302
Chi1n,7.6667815920047
Chi1v,8.483278172932424
Chi2n,5.911370187907744
Chi2v,6.86734103587677
Chi3n,3.9145581099710833
Chi3v,5.002216613322427
Chi4n,2.7156972946904605
Chi4v,3.7574829018390163
MolMR,82.42470000000003
MolWt,367.8700000000001
fr_SH,0
Kappa1,17.056367157374492
Kappa2,6.994053963066903
Kappa3,3.083221311376613
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,8
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,843.2001832580884
MolLogP,-4.100799999999997
NOCount,9
fr_Ar_N,8
fr_COO2,0
fr_urea,0
BalabanJ,1.6899986140928524e-06
SMR_VSA1,17.306942892030456
SMR_VSA2,0.0
SMR_VSA3,39.78929167856703
SMR_VSA4,0.0
SMR_VSA5,35.98961773518055
SMR_VSA6,20.640100371266954
SMR_VSA7,17.584699561309996
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,1
LabuteASA,148.80229238304602
NHOHCount,1
PEOE_VSA1,17.306942892030456
PEOE_VSA2,0.0
PEOE_VSA3,9.665781456092393
PEOE_VSA4,14.598058222863868
PEOE_VSA5,5.098681808301038
PEOE_VSA6,0.0
PEOE_VSA7,41.451120009478885
PEOE_VSA8,5.563451491696996
PEOE_VSA9,32.87878477202799
RingCount,4
SMR_VSA10,17.53953867331031
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,367.109440256
NumHDonors,1
PEOE_VSA10,11.353280053433782
PEOE_VSA11,0.0
PEOE_VSA12,5.156436481820707
PEOE_VSA13,5.777653723919194
PEOE_VSA14,0.0
SlogP_VSA1,17.306942892030456
SlogP_VSA2,60.42939204983399
SlogP_VSA3,19.386399651764595
SlogP_VSA4,0.0
SlogP_VSA5,17.678201109471466
SlogP_VSA6,16.50971653525449
SlogP_VSA7,0.0
SlogP_VSA8,5.777653723919194
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,12.407033161179976
EState_VSA3,5.777653723919194
EState_VSA4,48.22830213594159
EState_VSA5,10.463361222547473
EState_VSA6,22.60460291777128
EState_VSA7,4.681802935145185
EState_VSA8,44.68743481516061
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,11.761884949391115
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,3.646069066515495
VSA_EState9,42.137168839758125
