DLiP-ID,C100OS
DLiP-Mol-ID,35928
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10N4O4/c20-15(21)11-4-1-3-10(7-11)14-9-18(17-16-14)12-5-2-6-13(8-12)19(22)23/h1-9H,(H,20,21)"
Standard Inchi Key(RDKit),IIMHETZSEDNUPD-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1cccc(-c2cn(-c3cccc([N+](=O)[O-])c3)nn2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),310.269
MW Monoisotopic(RDKit),310.0702048
MolLogP(RDKit),2.5407
XLogP(SDF),
XLogP(CDK),2.986
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),111.15
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.585206912549833
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,243703.62718309296
qed,0.5852069125498328
Chi0,16.396976746569035
Chi1,11.041713895658193
TPSA,111.14999999999999
Chi0n,11.656965271598015
Chi0v,11.656965271598015
Chi1n,6.553308142335771
Chi1v,6.553308142335771
Chi2n,4.711271119296431
Chi2v,4.711271119296431
Chi3n,3.2037720418977567
Chi3v,3.2037720418977567
Chi4n,2.082923745456616
Chi4v,2.082923745456616
MolMR,80.40870000000001
MolWt,310.269
fr_SH,0
Kappa1,14.389899261577582
Kappa2,5.6799685826292015
Kappa3,2.9058895642140086
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,0
