DLiP-ID,C000NS
DLiP-Mol-ID,31100
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H17N3/c1-11-7-3-5-9-13(11)17-15(16)18-14-10-6-4-8-12(14)2/h3-10H,1-2H3,(H3,16,17,18)"
Standard Inchi Key(RDKit),OPNUROKCUBTKLF-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccccc1NC(=N)Nc1ccccc1C
SMILES(SDF),
MW(SDF),
MW(RDKit),239.322
MW Monoisotopic(RDKit),239.142247544
MolLogP(RDKit),3.76221
XLogP(SDF),
XLogP(CDK),3.864
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),47.91
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.551697648368079
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,13295.946702989075
qed,0.5516976483680794
Chi0,12.957819157813608
Chi1,8.66470379794645
TPSA,47.910000000000004
Chi0n,10.618802153517008
Chi0v,10.618802153517008
Chi1n,5.904700538379252
Chi1v,5.904700538379252
Chi2n,4.254842698560233
Chi2v,4.254842698560233
Chi3n,2.809472670871599
Chi3v,2.809472670871599
Chi4n,1.726887220556229
Chi4v,1.726887220556229
MolMR,77.33010000000003
MolWt,239.32200000000003
fr_SH,0
Kappa1,12.174429825362497
Kappa2,5.361092663978125
Kappa3,2.8844001158568524
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,511.67010158870033
MolLogP,3.7622100000000014
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.0618064780775383
SMR_VSA1,0.0
SMR_VSA2,5.409283605791522
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,10.633577208012662
SMR_VSA7,59.65783953108687
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
