DLiP-ID,C000SN
DLiP-Mol-ID,31303
Vendor-ID,
Standard Inchi(RDKit),InChI=1S/C12H8I/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8H/q+1
Standard Inchi Key(RDKit),QFXKXRXFBRLLPQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc2c(c1)[I+]c1ccccc1-2
SMILES(SDF),
MW(SDF),
MW(RDKit),279.1
MW Monoisotopic(RDKit),278.96652467609
MolLogP(RDKit),-0.2046
XLogP(SDF),
XLogP(CDK),3.88
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),0
HBA Lipinski(RDKit),0
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),0.0
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.499807448830349
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2395.2381889679577
qed,0.4998074488303494
Chi0,8.673362107437432
Chi1,6.449489742783178
TPSA,0.0
Chi0n,6.996766626526235
Chi0v,9.154264917702557
Chi1n,4.28266501138848
Chi1v,6.4401633025648
Chi2n,3.0541836743635202
Chi2v,5.917939611932569
Chi3n,2.2414858206871346
Chi3v,5.285033282520878
Chi4n,1.6337430843854386
Chi4v,4.556353825820547
MolMR,49.27200000000002
MolWt,279.1
fr_SH,0
Kappa1,7.562357844482439
Kappa2,2.8397707562073387
Kappa3,1.1038726830259507
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,416.68658538234826
MolLogP,-0.20460000000000012
NOCount,0
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.320727984740838
SMR_VSA1,21.20510112887405
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,55.67130108982367
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,87.86838115101442
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,24.26546827384644
PEOE_VSA8,11.126902983393991
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,0.0
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,278.96652467609
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,7.140364542130793
