DLiP-ID,J100A9
DLiP-Mol-ID,37071
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H23N3O2S/c1-5-23(6-2)16-9-7-15(8-10-16)21-20(24)17-12-14(4)26-19(17)18-11-13(3)25-22-18/h7-12H,5-6H2,1-4H3,(H,21,24)"
Standard Inchi Key(RDKit),PNEFNUQMTMNGAO-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(CC)c1ccc(NC(=O)c2cc(C)sc2-c2cc(C)on2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),369.49
MW Monoisotopic(RDKit),369.151097976
MolLogP(RDKit),5.11844
XLogP(SDF),
XLogP(CDK),3.695
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),58.37
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.655158811757465
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,1002332.0394135603
qed,0.655158811757465
Chi0,18.681433796945203
Chi1,12.511570350697117
TPSA,58.370000000000005
Chi0n,15.497487239902357
Chi0v,16.31398382083008
Chi1n,8.719021200094682
Chi1v,9.535517781022408
Chi2n,6.095940169341959
Chi2v,7.352263155897132
Chi3n,4.21426890252062
Chi3v,5.287270879309007
Chi4n,2.889338809299876
Chi4v,3.8504331257881086
MolMR,107.24620000000003
MolWt,369.4900000000001
fr_SH,0
Kappa1,18.198871597743196
Kappa2,7.742349957734573
Kappa3,3.801748514445734
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,892.1794992747452
MolLogP,5.118440000000005
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.8051509259069838
SMR_VSA1,9.31763212104517
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
SMR_VSA5,27.694948798762496
SMR_VSA6,23.30621114668196
SMR_VSA7,52.5990485150424
SMR_VSA8,0.0
SMR_VSA9,10.57107518854976
fr_Al_OH,0
