DLiP-ID,T004YY
DLiP-Mol-ID,21685
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H18Cl2N4O5/c1-2-7-26-17-18(20(30)19(17)29)28-15(22(32)33)8-11-3-5-12(6-4-11)27-21(31)16-13(23)9-25-10-14(16)24/h2-6,9-10,15,29-30H,1,7-8H2,(H,27,31)(H,32,33)/b26-17-,28-18-/t15-/m0/s1"
Standard Inchi Key(RDKit),PQDIJZIJCHDYMZ-RGSASCSGSA-N
Canonical SMILES(RDKit),C=CC/N=c1\c(O)c(O)\c1=N/[C@@H](Cc1ccc(NC(=O)c2c(Cl)cncc2Cl)cc1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),489.315
MW Monoisotopic(RDKit),488.065425036
MolLogP(RDKit),2.6108
XLogP(SDF),
XLogP(CDK),0.0960000000000003
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),144.47
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.358292118083394
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,15285860.841956932
qed,0.3582921180833941
Chi0,24.120591385700628
Chi1,15.72245310821082
TPSA,144.47
Chi0n,16.995829597022578
Chi0v,18.50768748905949
Chi1n,9.510762058296526
Chi1v,10.266691004314982
Chi2n,6.840242348346326
Chi2v,7.654642601827538
Chi3n,4.56704625447349
Chi3v,5.140190742072423
Chi4n,2.9272633679708315
Chi4v,3.463559483143125
MolMR,122.11359999999999
MolWt,489.31500000000017
fr_SH,0
Kappa1,23.962350808070987
Kappa2,10.284783293548386
Kappa3,5.387693839662928
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1291.4918020365083
MolLogP,2.6108000000000002
NOCount,9
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.7814519191719609
SMR_VSA1,24.90865655266576
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,9.984809465271338
SMR_VSA5,12.462662452073971
SMR_VSA6,11.861545009918906
SMR_VSA7,81.20074171499422
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,197.2620412270663
NHOHCount,4
PEOE_VSA1,20.636370788528446
PEOE_VSA2,19.76332517029037
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,6.578935683598497
PEOE_VSA6,41.410634024222134
PEOE_VSA7,17.696185628620217
PEOE_VSA8,24.501895040835723
PEOE_VSA9,22.153474525092225
RingCount,3
SMR_VSA10,40.76575107245195
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,488.06542503599997
NumHDonors,4
PEOE_VSA10,10.714460896612609
PEOE_VSA11,17.54086449571577
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
