DLiP-ID,C101YQ
DLiP-Mol-ID,40632
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H13N3O3/c14-9-3-1-2-7-8(9)6-16(13(7)19)10-4-5-11(17)15-12(10)18/h1-3,10H,4-6,14H2,(H,15,17,18)"
Standard Inchi Key(RDKit),GOTYRUGSSMKFNF-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O
SMILES(SDF),
MW(SDF),
MW(RDKit),259.265
MW Monoisotopic(RDKit),259.095691276
MolLogP(RDKit),0.0297999999999999
XLogP(SDF),
XLogP(CDK),-0.437
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),92.5
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.54943491296874
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cereblon/Aiolos
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,28986.627643350188
qed,0.5494349129687401
Chi0,13.568549621822843
Chi1,9.07538740046941
TPSA,92.5
Chi0n,10.18003015639932
Chi0v,10.18003015639932
Chi1n,6.097128165906102
Chi1v,6.097128165906102
Chi2n,4.773307726503252
Chi2v,4.773307726503252
Chi3n,3.6183119709940414
Chi3v,3.6183119709940414
Chi4n,2.609612872965432
Chi4v,2.609612872965432
MolMR,66.8996
MolWt,259.265
fr_SH,0
Kappa1,11.70535246511652
Kappa2,4.0813602859858555
Kappa3,1.7589643807787616
fr_ArN,1
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,596.796280171291
MolLogP,0.029799999999999882
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8979320736819343
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
SMR_VSA5,25.428240480912553
SMR_VSA6,5.733667477162185
SMR_VSA7,29.32600418877882
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,109.10848846417022
NHOHCount,3
PEOE_VSA1,10.633577208012664
PEOE_VSA2,19.700400156221797
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,18.553555759849232
PEOE_VSA8,29.77986728691614
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,23.40892546273808
fr_Al_COO,0
fr_Ar_COO,0
