DLiP-ID,T004WP
DLiP-Mol-ID,21578
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H11NO2/c17-11-7-5-10(6-8-11)9-13-12-3-1-2-4-14(12)16-15(13)18/h1-9,17H,(H,16,18)/b13-9+"
Standard Inchi Key(RDKit),PLAOAGFXNCEZMZ-UKTHLTGXSA-N
Canonical SMILES(RDKit),O=C1Nc2ccccc2/C1=C\c1ccc(O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),237.258
MW Monoisotopic(RDKit),237.078978592
MolLogP(RDKit),2.8849
XLogP(SDF),
XLogP(CDK),2.695
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),49.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.749103083896048
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tubulin dimer
Common Target Pref Name,Tubulin dimer
RDKit Descriptors
Ipc,21855.9704812546
qed,0.7491030838960477
Chi0,12.535169427003234
Chi1,8.737183443017882
TPSA,49.33
Chi0n,9.551614308670455
Chi0v,9.551614308670455
Chi1n,5.6537986864070815
Chi1v,5.6537986864070815
Chi2n,4.149252852187355
Chi2v,4.149252852187355
Chi3n,2.9141539087684025
Chi3v,2.9141539087684025
Chi4n,2.019456843177029
Chi4v,2.019456843177029
MolMR,71.04950000000002
MolWt,237.25799999999998
fr_SH,0
Kappa1,10.594325580249754
Kappa2,4.035866968245453
Kappa3,1.7566390574674389
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,641.7981069822507
MolLogP,2.884900000000001
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.06520794707081
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
SMR_VSA7,59.65783953108687
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,104.39350751888517
