DLiP-ID,I001EH
DLiP-Mol-ID,29843
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H18BrN3O3/c22-17-8-4-7-15-16(13-23-18(15)17)19(26)21(28)25-11-9-24(10-12-25)20(27)14-5-2-1-3-6-14/h1-8,13,23H,9-12H2"
Standard Inchi Key(RDKit),XYDVUUJYNPKXGQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1c[nH]c2c(Br)cccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),440.297
MW Monoisotopic(RDKit),439.053153536
MolLogP(RDKit),3.0977
XLogP(SDF),
XLogP(CDK),3.63
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),73.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.502733972546789
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,3876492.127770328
qed,0.5027339725467886
Chi0,19.672997628507925
Chi1,13.558550648063802
TPSA,73.48
Chi0n,15.021716082853558
