DLiP-ID,C000DP
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,305.0931044320005
MZ,0.7207207207207208
Mi,1.1287818360175224
Mm,0.6880224658927514
Mp,0.6927122188056323
Mv,0.6521342494540132
SZ,26.66666666666667
Si,41.76492793264833
Sm,25.4568312380318
Sp,25.630352095808394
Sv,24.12896722979849
nB,0
nC,15
nF,0
nH,16
nI,0
nN,3
nO,2
nP,0
nS,0
nX,1
ABC,16.498814593655904
AMW,8.245759579243256
IC0,1.7132845430264838
IC1,3.802991202999011
IC2,4.648510460165074
IC3,4.93918309535868
IC4,4.93918309535868
IC5,4.93918309535868
MID,42.86376155811601
Mpe,0.9815580286168518
Mse,1.014025314462314
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,81.19180000000001
SdO,23.03956557330445
SdS,0
Spe,36.31764705882352
SsF,0
SsI,0
Sse,37.51893663510562
StN,0
fMF,0.35135135135135137
nBr,0
nCl,1
AMID,2.041131502767429
BIC0,0.31196838534729
BIC1,0.6924786836597346
BIC2,0.8464375100040048
BIC3,0.8993654798704728
BIC4,0.8993654798704728
BIC5,0.8993654798704728
CIC0,3.496168822602466
CIC1,1.4064621626299392
CIC2,0.5609429054638762
CIC3,0.2702702702702702
CIC4,0.2702702702702702
CIC5,0.2702702702702702
GGI1,4.5
GGI2,2.666666666666668
GGI3,1.7638888888888888
GGI4,1.1816666666666669
GGI5,0.8200000000000001
GGI6,0.3812698412698413
GGI7,0.27869897959183676
GGI8,0.2086404006046863
GGI9,0.06000000000000001
JGI1,0.19565217391304346
JGI2,0.08080808080808084
JGI3,0.05345117845117846
JGI4,0.03938888888888889
JGI5,0.030370370370370367
JGI6,0.0181557067271353
JGI7,0.016394057623049216
JGI8,0.017386700050390527
JGI9,0.008571428571428572
MIC0,19.61815824164658
MIC1,38.21894779291311
MIC2,41.67474545241501
MIC3,42.778067793014486
MIC4,42.778067793014486
MIC5,42.778067793014486
MPC2,33
MPC3,44
MPC4,61
MPC5,81
MPC6,90
MPC7,106
MPC8,119
MPC9,110
Mare,0.9917837837837841
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,1
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.18942893275500047
RPCG,0.12159934589357914
SIC0,0.32887990788638816
SIC1,0.7300173235238985
SIC2,0.8923221178703935
SIC3,0.9481192648630918
SIC4,0.9481192648630918
SIC5,0.9481192648630918
SaaN,0
SaaO,0
SaaS,0
Sare,36.69600000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,6.057039341035702
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,63.3915280919799
TIC1,140.7106745109634
TIC2,171.99488702610773
TIC3,182.74977452827116
TIC4,182.74977452827116
TIC5,182.74977452827116
Vabc,259.08991050197193
WPol,33
apol,42.80268799999999
bpol,18.867311999999995
nRot,3
ABCGG,13.563321979113432
ATS0Z,1120.0
ATS0d,128.0
ATS0i,6033.379961589884
ATS0m,4537.445488000002
ATS0p,58.61611447758401
ATS0s,186.53307422648987
ATS0v,8516.78846914169
ATS1Z,1048.0
ATS1d,164.0
ATS1i,5800.948127598999
ATS1m,4017.0314079999994
ATS1p,73.63420092
ATS1s,122.43724279835394
ATS1v,10749.964439959896
ATS2Z,1619.0
ATS2d,266.0
ATS2i,10436.497476035944
ATS2m,6131.476806999999
ATS2p,116.34407411424498
ATS2s,213.57716049382717
ATS2v,16362.490335365603
ATS3Z,1771.0
ATS3d,300.0
ATS3i,14931.145119333316
ATS3m,6442.832091000001
ATS3p,133.77672550903702
ATS3s,277.0977366255145
ATS3v,18195.95136621078
ATS4Z,1675.0
ATS4d,285.0
ATS4i,15359.701115761229
ATS4m,6031.754403999998
ATS4p,127.607791177886
ATS4s,277.7201646090534
ATS4v,17240.59573530577
ATS5Z,1606.0
ATS5d,240.0
ATS5i,14188.169466538484
ATS5m,5887.590438
ATS5p,114.54027199043301
ATS5s,296.37551440329224
ATS5v,15353.74939772486
ATS6Z,1305.0
ATS6d,205.0
ATS6i,13261.601936489955
ATS6m,4577.273355000001
ATS6p,103.83074345273499
ATS6s,231.32201646090536
ATS6v,13448.07762366722
ATS7Z,1135.0
ATS7d,162.0
ATS7i,12158.125360129203
ATS7m,3997.0773069999996
ATS7p,82.856844616131
ATS7s,223.52057613168728
ATS7v,10634.453697555906
ATS8Z,875.0
ATS8d,103.0
ATS8i,8835.074893542165
ATS8m,3126.389014
ATS8p,56.092304231886004
ATS8s,166.641975308642
ATS8v,7387.3564348636155
C1SP1,0
C1SP2,2
C1SP3,1
C2SP1,0
C2SP2,6
C2SP3,3
C3SP2,2
C3SP3,1
C4SP3,0
FCSP3,0.3333333333333333
GGI10,0.07305785123966943
JGI10,0.014611570247933886
JGT10,0.47479015565149957
Kier1,15.879017013232515
Kier2,6.629935720844812
Kier3,3.347107438016529
MAXdO,12.244075631281317
MID_C,31.851137427376955
MID_N,5.767081758313977
MID_O,3.4702356413148525
MID_X,1.7753067311102464
MID_h,11.012624130739075
MINdO,10.795489942023131
MPC10,105
MWC01,23.0
MWC02,4.727387818712341
MWC03,5.58724865840025
MWC04,6.48768401848461
MWC05,7.3796321526095525
MWC06,8.289790583181643
MWC07,9.19634286233233
MWC08,10.112004656988175
MWC09,11.02606047864908
MWC10,11.94503899540264
NaaCH,3
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,3
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,0
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,1.8426999999999996
SRW02,3.8501476017100584
SRW03,0.0
SRW04,5.187385805840755
SRW05,2.3978952727983707
SRW06,6.717804695023691
SRW07,4.844187086458591
SRW08,8.345455428161928
SRW09,7.065613363597717
SRW10,10.02998803614547
SaaCH,5.678852616255664
SaaNH,3.326235197782817
SaaSe,0
SaaaC,2.0591689762324688
SaasC,2.766727328123884
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.6988753583644447
SdssS,0
SsCH3,0
SsNH2,5.066718074460679
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.5888975322639345
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.8247886248163807
VE1_D,4.504500740729551
VE2_A,0.1821327916579229
VE2_D,0.21450003527283576
VE3_A,2.0834405489949908
VE3_D,2.2470144062808464
VR1_A,252.4282257994246
VR1_D,114.97042822201611
VR2_A,12.020391704734505
VR2_D,5.474782296286482
VR3_A,6.273064298777188
VR3_D,5.486612294129441
WPath,919
Xc-3d,1.6436234060726758
Xc-4d,0.0
Xc-5d,0.33093309327558146
Xc-6d,0.0
Xp-0d,14.982763184195939
Xp-1d,10.058550648063802
Xp-2d,9.44880926625526
Xp-3d,7.540210418659249
Xp-4d,6.387087196437125
Xp-5d,5.622112060292155
Xp-6d,3.8749229217360144
Xp-7d,2.947046262245632
ZMIC0,68.09962001442169
ZMIC1,33.23419552791291
ZMIC2,25.719621908629723
ZMIC3,23.394785733970853
ZMIC4,23.394785733970853
ZMIC5,23.394785733970853
nAcid,0
nAtom,37
nBase,0
nRing,3
piPC1,3.4339872044851463
piPC2,4.047427642434349
piPC3,4.621289567867975
piPC4,5.266246035547967
piPC5,5.82600010738045
piPC6,6.191307485300865
piPC7,6.6072728807972
piPC8,6.967773099084585
piPC9,6.946318474335267
AATS0Z,30.27027027027027
AATS0d,3.4594594594594597
AATS0i,163.0643232862131
AATS0m,122.63366183783789
AATS0p,1.5842193102049733
AATS0s,5.041434438553781
AATS0v,230.1834721389646
AATS1Z,26.871794871794872
AATS1d,4.205128205128205
AATS1i,148.74225968202563
AATS1m,103.00080533333332
AATS1p,1.8880564338461538
AATS1s,3.139416482009075
AATS1v,275.64011384512554
AATS2Z,23.463768115942027
AATS2d,3.8550724637681157
AATS2i,151.25358660921657
AATS2m,88.86198271014491
AATS2p,1.6861460016557244
AATS2s,3.095321166577205
AATS2v,237.1375410922551
AATS3Z,18.840425531914892
AATS3d,3.1914893617021276
AATS3i,158.84196935460974
AATS3m,68.54076692553193
AATS3p,1.4231566543514578
AATS3s,2.9478482619735584
AATS3v,193.57395070437
AATS4Z,17.63157894736842
AATS4d,3.0
AATS4i,161.681064376434
AATS4m,63.492151621052614
AATS4p,1.343239907135642
AATS4s,2.92337015377951
AATS4v,181.4799551084818
AATS5Z,18.25
AATS5d,2.727272727272727
AATS5i,161.22919848339185
AATS5m,66.90443679545454
AATS5p,1.3015939998912842
AATS5s,3.3679035727646847
AATS5v,174.47442497414613
AATS6Z,15.914634146341463
AATS6d,2.5
AATS6i,161.72685288402383
AATS6m,55.8204067682927
AATS6p,1.26622857869189
AATS6s,2.8210002007427484
AATS6v,164.00094663008807
AATS7Z,15.547945205479452
AATS7d,2.219178082191781
AATS7i,166.54966246752332
AATS7m,54.75448365753424
AATS7p,1.1350252687141233
AATS7s,3.061925700434072
AATS7v,145.67744791172473
AATS8Z,16.826923076923077
AATS8d,1.9807692307692308
AATS8i,169.9052864142724
AATS8m,60.12286565384615
AATS8p,1.0786981583055
AATS8s,3.2046533713200387
AATS8v,142.0645468243003
AMID_C,1.5167208298750932
AMID_N,0.27462294087209416
AMID_O,0.16524931625308822
AMID_X,0.0845384157671546
AMID_h,0.5244106728923369
ATS0dv,277.60493827160496
ATS0pe,236.35510000000002
ATS0se,289.9871289999999
ATS1dv,278.1111111111111
ATS1pe,255.9715
ATS1se,305.09845399999995
ATS2dv,385.6666666666667
ATS2pe,439.15520000000004
ATS2se,531.2609519999999
ATS3dv,372.44444444444446
ATS3pe,591.9647
ATS3se,728.416536
ATS4dv,356.22222222222223
ATS4pe,597.0657
ATS4se,736.623492
ATS5dv,309.77777777777777
ATS5pe,547.8561
ATS5se,678.6399060000001
ATS6dv,225.8888888888889
ATS6pe,504.855
ATS6se,629.909512
ATS7dv,216.66666666666669
ATS7pe,450.1237
ATS7se,564.609136
ATS8dv,135.77777777777777
ATS8pe,326.6628
ATS8se,409.650192
ATSC0Z,428.10810810810796
ATSC0c,0.8095096988326945
ATSC0d,24.108108108108105
ATSC0i,55.85124543739951
ATSC0m,2010.6779030270272
ATSC0p,9.100706368790915
ATSC0s,71.12610758907053
ATSC0v,1852.6119813441974
ATSC1Z,-4.330168005843704
ATSC1c,-0.5499930972576796
ATSC1d,7.075237399561724
ATSC1i,6.339699925301721
ATSC1m,-14.889489406865941
ATSC1p,1.0589566447996304
ATSC1s,-4.370700057192103
ATSC1v,187.49332238947224
ATSC2Z,37.93352812271728
ATSC2c,0.18124634256194144
ATSC2d,0.6092037983929893
ATSC2i,-6.685262686660263
ATSC2m,173.44649459824728
ATSC2p,-0.24730608035557344
ATSC2s,16.073382886835226
ATSC2v,-67.6903121943441
ATSC3Z,-90.6800584368152
ATSC3c,0.09022051151610393
ATSC3d,-0.7611395178962738
ATSC3i,0.29966786228722353
ATSC3m,-421.28716782541994
ATSC3p,-0.17338182130533297
ATSC3s,-14.961012814616423
ATSC3v,-205.9938869112127
ATSC4Z,-81.49379108838569
ATSC4c,-0.18822638707668388
ATSC4d,-7.926223520818116
ATSC4i,10.82560532076803
ATSC4m,-380.2350991234478
ATSC4p,0.16237873432401895
ATSC4s,-15.318572604414003
ATSC4v,-234.2998658990427
ATSC5Z,86.17531044558073
ATSC5c,0.08798589298967162
ATSC5d,-10.581446311176043
ATSC5i,-8.47846630667813
ATSC5m,395.2019262059897
ATSC5p,-0.34314479101999656
ATSC5s,29.776411240514232
ATSC5v,-117.7323508456279
ATSC6Z,-132.42878013148282
ATSC6c,-0.13105096054416474
ATSC6d,-3.7801314828341868
ATSC6i,-16.05904816522067
ATSC6m,-620.5839357626006
ATSC6p,-2.382688598923145
ATSC6s,-11.648950947388276
ATSC6v,-522.0358646863019
ATSC7Z,-29.645726807888952
ATSC7c,0.2550323790821673
ATSC7d,-1.6727538349159974
ATSC7i,-9.204702290195826
ATSC7m,-136.1955412425132
ATSC7p,-1.1277305641637345
ATSC7s,-3.3698703152045386
ATSC7v,-119.77609663867227
ATSC8Z,13.875091307523752
ATSC8c,-0.22846305331179967
ATSC8d,1.0102264426588754
ATSC8i,3.6411089781021717
ATSC8m,61.47673547552944
ATSC8p,-0.30046038239226736
ATSC8s,-19.76195281033452
ATSC8v,101.51670145809987
AXp-0d,0.7134649135331399
AXp-1d,0.43732828904625226
AXp-2d,0.2863275535228867
AXp-3d,0.17136841860589203
AXp-4d,0.10470634748257583
AXp-5d,0.06940879086780438
AXp-6d,0.04305469913040016
AXp-7d,0.027802323228732377
GATS1Z,0.6231351981351984
GATS1c,1.6936140039138186
GATS1d,0.8232149016902383
GATS1i,1.1298684457900385
GATS1m,0.626609148981816
GATS1p,0.8225504861673967
GATS1s,0.6091940987260707
GATS1v,0.8220832714545442
GATS2Z,0.6434782608695655
GATS2c,0.7424507843227209
GATS2d,1.168648859426789
GATS2i,1.1861101327784584
GATS2m,0.650691411797804
GATS2p,0.9757655445024969
GATS2s,0.44204255864535236
GATS2v,0.9829739789201627
GATS3Z,0.9496010638297875
GATS3c,0.8633803555718992
GATS3d,1.1040692681995996
GATS3i,1.011040564643189
GATS3m,0.9505913310594137
GATS3p,0.9678098312502508
GATS3s,1.005535375404333
GATS3v,1.0064067534880814
GATS4Z,0.8900358851674645
GATS4c,1.1270121309455072
GATS4d,1.1631814963417515
GATS4i,0.9444594361693721
GATS4m,0.8925007107374907
GATS4p,0.9142161246804078
GATS4s,0.9971703130641321
GATS4v,0.9952315008038083
GATS5Z,0.7654183884297523
GATS5c,0.8942040462763972
GATS5d,1.1454086832450063
GATS5i,1.031104088864336
GATS5m,0.7702380181015819
GATS5p,0.9623971325051295
GATS5s,0.8059097203121434
GATS5v,0.9991102078387248
GATS6Z,1.1695814855875835
GATS6c,0.9230484151817144
GATS6d,0.9287433008859238
GATS6i,1.0518892406576434
GATS6m,1.1686735096868979
GATS6p,1.1160371135948475
GATS6s,1.0413287345221534
GATS6v,1.1222947013748685
GATS7Z,1.1640255292652557
GATS7c,0.7977693829760325
GATS7d,0.9000552859512256
GATS7i,0.9651452894774478
GATS7m,1.1605467356055996
GATS7p,1.050776878124267
GATS7s,1.1375196025964234
GATS7v,1.0232396082892148
GATS8Z,1.1885926573426577
GATS8c,1.3599167748766283
GATS8d,0.7753535701966197
GATS8i,0.8323250567914151
GATS8m,1.1841010998332
GATS8p,0.9953592697542035
GATS8s,1.5782558697122255
GATS8v,0.9234759789651547
MATS1Z,-0.009595959595959649
MATS1c,-0.6445732815700059
MATS1d,0.27842934345176495
MATS1i,0.1076893999680095
MATS1m,-0.007025454363562279
MATS1p,0.11039265911059394
MATS1s,-0.058298727897179166
MATS1v,0.09601486010394375
MATS2Z,0.04751409017713363
MATS2c,0.12006041174151894
MATS2d,0.013550399688048392
MATS2i,-0.06418569501567055
MATS2m,0.046256807438749
MATS2p,-0.01457177058946026
MATS2s,0.12117998131416423
MATS2v,-0.019592717744440425
MATS3Z,-0.08337430152589731
MATS3c,0.043868935791909695
MATS3d,-0.012427249308272097
MATS3i,0.002111938066950188
MATS3m,-0.08247258292929381
MATS3p,-0.0074989823075440115
MATS3s,-0.08279532648395908
MATS3v,-0.04376669317897231
MATS4Z,-0.07413942052099949
MATS4c,-0.09056003225916119
MATS4d,-0.12805050743450558
MATS4i,0.07549139423962174
MATS4m,-0.0736525550406734
MATS4p,0.006949157717195969
MATS4s,-0.08388172938630403
MATS4v,-0.04925674285854593
MATS5Z,0.08463469926538113
MATS5c,0.04569935196172419
MATS5d,-0.1845444353852426
MATS5i,-0.06382686132078512
MATS5m,0.08264100679454608
MATS5p,-0.01585336140809647
MATS5s,0.17602014053306408
MATS5v,-0.026719627508927746
MATS6Z,-0.13957794407489535
MATS6c,-0.07304761212213895
MATS6d,-0.07075084764300561
MATS6i,-0.12974027387716255
MATS6m,-0.13926625460466185
MATS6p,-0.11813540001750611
MATS6s,-0.07390020545526284
MATS6v,-0.12714630510011174
MATS7Z,-0.03509841566348415
MATS7c,0.15968059041723753
MATS7d,-0.03516800786289085
MATS7i,-0.08353255177495232
MATS7m,-0.03433201145256861
MATS7p,-0.06280715373790632
MATS7s,-0.02401391723836617
MATS7v,-0.032769102841945646
MATS8Z,0.02306114024864028
MATS8c,-0.20081322028169377
MATS8d,0.0298163159710245
MATS8i,0.046387310798226826
MATS8m,0.021755379971506648
MATS8p,-0.023491486218454375
MATS8s,-0.19769659800449732
MATS8v,0.038989836135867824
MAXsCl,6.057039341035702
MINsCl,6.057039341035702
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,27.00824737469388
SpAD_D,182.25115825194894
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,2.4913415427899563
SssNH2,0
SsssAs,0
SsssCH,-0.2645597127739987
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,793
TMWC10,118.75119022476063
TSRW10,69.43847728973658
VE1_Dt,4.561983288918995
VE2_Dt,0.2172372994723331
VE3_Dt,2.259694805480742
VR1_Dt,107.93989517311354
VR2_Dt,5.139995008243502
VR3_Dt,5.423511890760551
Xc-3dv,0.7381979061472197
Xc-4dv,0.0
Xc-5dv,0.11821322112864098
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.07856742013183861
Xch-6d,0.34811035131727247
Xch-7d,0.6651003219551115
Xp-0dv,12.16556847064973
Xp-1dv,7.298162737718413
Xp-2dv,5.772501418763954
Xp-3dv,4.157665977958663
Xp-4dv,3.166555755763024
Xp-5dv,2.441856199441972
Xp-6dv,1.501075441394903
Xp-7dv,0.9994129149582744
Xpc-4d,3.3801320114970665
Xpc-5d,5.437546903144736
Xpc-6d,9.000481024685513
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,39
nFRing,1
nHBAcc,2
nHBDon,3
nHRing,1
nSpiro,0
naRing,2
piPC10,7.046762860811955
AATS0dv,7.502836169502837
AATS0pe,6.387975675675676
AATS0se,7.837489972972971
AATS1dv,7.13105413105413
AATS1pe,6.563371794871794
AATS1se,7.82303728205128
AATS2dv,5.5893719806763285
AATS2pe,6.3645681159420295
AATS2se,7.699434086956519
AATS3dv,3.962174940898345
AATS3pe,6.297496808510639
AATS3se,7.749112085106383
AATS4dv,3.7497076023391815
AATS4pe,6.284902105263158
AATS4se,7.753931494736842
AATS5dv,3.5202020202020203
AATS5pe,6.2256374999999995
AATS5se,7.711817113636365
AATS6dv,2.7547425474254745
AATS6pe,6.156768292682927
AATS6se,7.68182331707317
AATS7dv,2.9680365296803655
AATS7pe,6.16607808219178
AATS7se,7.734371726027398
AATS8dv,2.611111111111111
AATS8pe,6.281976923076924
AATS8se,7.877888307692308
AATSC0Z,11.570489408327242
AATSC0c,0.021878640508991742
AATSC0d,0.6515704894083272
AATSC0i,1.5094931199297166
AATSC0m,54.342646027757496
AATSC0p,0.24596503699434905
AATSC0s,1.9223272321370413
AATSC0v,50.070594090383715
AATSC1Z,-0.11102994886778728
AATSC1c,-0.014102387109171274
AATSC1d,0.18141634357850572
AATSC1i,0.16255640834106977
AATSC1m,-0.38178177966322924
AATSC1p,0.027152734482041804
AATSC1s,-0.11206923223569494
AATSC1v,4.807521086909545
AATSC2Z,0.5497612771408301
AATSC2c,0.002626758587854224
AATSC2d,0.008829040556420135
AATSC2i,-0.09688786502406178
AATSC2m,2.5137173130180765
AATSC2p,-0.0035841460921097602
AATSC2s,0.23294757807007574
AATSC2v,-0.9810190173093348
AATSC3Z,-0.9646814727320766
AATSC3c,0.0009597926757032333
AATSC3d,-0.008097228913790146
AATSC3i,0.003187955981778974
AATSC3m,-4.481778381121488
AATSC3p,-0.0018444874606950317
AATSC3s,-0.15915971079379174
AATSC3v,-2.1914243288426882
AATSC4Z,-0.8578293798777441
AATSC4c,-0.001981330390280883
AATSC4d,-0.08343393179808543
AATSC4i,0.11395374021861085
AATSC4m,-4.00247472761524
AATSC4p,0.001709249834989673
AATSC4s,-0.16124813267804214
AATSC4v,-2.4663143778846597
