DLiP-ID,C003ER
DLiP-Mol-ID,33921
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H21N5/c1-3-9-15(10-4-1)18-20(22-16-11-5-2-6-12-16)23-19(25-24-18)17-13-7-8-14-21-17/h1,3-4,7-10,13-14,16H,2,5-6,11-12H2,(H,22,23,25)"
Standard Inchi Key(RDKit),LKAMDZUYTXTHDM-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc(-c2nnc(-c3ccccn3)nc2NC2CCCCC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),331.423
MW Monoisotopic(RDKit),331.179695672
MolLogP(RDKit),4.3452
XLogP(SDF),
XLogP(CDK),3.996
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),63.59
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.770004131674884
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,1066648.7076821588
qed,0.770004131674884
Chi0,16.899130457682162
Chi1,12.398979485566358
TPSA,63.59
Chi0n,14.097890979828833
Chi0v,14.097890979828833
Chi1n,8.880763331137368
Chi1v,8.880763331137368
Chi2n,6.392898529780858
Chi2v,6.392898529780858
Chi3n,4.573962055049181
Chi3v,4.573962055049181
Chi4n,3.2608519816289565
Chi4v,3.2608519816289565
MolMR,98.98970000000004
MolWt,331.4230000000002
fr_SH,0
Kappa1,15.692856440774952
Kappa2,7.382852006090359
