DLiP-ID,C000WH
DLiP-Mol-ID,31470
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C5H12N4O3/c6-3(4(10)11)1-2-12-9-5(7)8/h3H,1-2,6H2,(H,10,11)(H4,7,8,9)/t3-/m0/s1"
Standard Inchi Key(RDKit),FSBIGDSBMBYOPN-VKHMYHEASA-N
Canonical SMILES(RDKit),NC(N)=NOCC[C@H](N)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),176.176
MW Monoisotopic(RDKit),176.090940244
MolLogP(RDKit),-2.0066
XLogP(SDF),
XLogP(CDK),-3.313
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),7
PSA(SDF),
PSA(RDKit),136.95
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),12
QED Weighted(RDKit),0.165229510161694
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,312.6461024297215
qed,0.1652295101616941
Chi0,9.560477932315068
Chi1,5.5365812602091875
TPSA,136.95
Chi0n,6.434538411059241
Chi0v,6.434538411059241
Chi1n,3.2301940887433935
Chi1v,3.2301940887433935
Chi2n,2.0827821143146608
Chi2v,2.0827821143146608
Chi3n,1.0072988420999263
Chi3v,1.0072988420999263
Chi4n,0.4233260077567552
