DLiP-ID,C001ZX
DLiP-Mol-ID,27369
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H18N2O4/c1-14-7-2-3-10-17(14)21(26)23-16-9-6-8-15(13-16)20(25)24-19-12-5-4-11-18(19)22(27)28/h2-13H,1H3,(H,23,26)(H,24,25)(H,27,28)"
Standard Inchi Key(RDKit),DPEDHHUCFLLOPR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccccc1C(=O)Nc1cccc(C(=O)Nc2ccccc2C(=O)O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),374.396
MW Monoisotopic(RDKit),374.126657056
MolLogP(RDKit),4.19782
XLogP(SDF),
XLogP(CDK),4.445
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),95.5
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.623669697697139
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2008202.1283217461
qed,0.6236696976971389
Chi0,20.095647359318303
Chi1,13.452397498181154
TPSA,95.50000000000001
Chi0n,15.10016169716706
Chi0v,15.10016169716706
Chi1n,8.562046976870944
Chi1v,8.562046976870944
Chi2n,6.154710579018746
Chi2v,6.154710579018746
Chi3n,4.177994596076599
Chi3v,4.177994596076599
Chi4n,2.737377254042151
