DLiP-ID,I000UC
DLiP-Mol-ID,17986
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H14BrNO3S2/c20-14-8-6-13(7-9-14)11-16-17(22)21(19(25)26-16)15(18(23)24)10-12-4-2-1-3-5-12/h1-9,11,15H,10H2,(H,23,24)/b16-11-/t15-/m0/s1"
Standard Inchi Key(RDKit),NWNRPXAZPNUBGV-CNYBTUBUSA-N
Canonical SMILES(RDKit),O=C(O)[C@H](Cc1ccccc1)N1C(=O)/C(=C/c2ccc(Br)cc2)SC1=S
SMILES(SDF),
MW(SDF),
MW(RDKit),448.363
MW Monoisotopic(RDKit),446.959847408
MolLogP(RDKit),4.3462
XLogP(SDF),
XLogP(CDK),4.015
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),57.61
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.54480577940991
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BCL2-Like_BAX
Common Target Pref Name,"BCL-like/BAX,BAK"
RDKit Descriptors
Ipc,817455.6579450691
qed,0.54480577940991
Chi0,18.681433796945207
Chi1,12.452397498181154
TPSA,57.61
Chi0n,13.46334456813703
Chi0v,16.682334269107187
Chi1n,7.748500138071824
Chi1v,9.766243279020765
Chi2n,5.647022154607708
Chi2v,8.238463272595553
Chi3n,3.8599241679471024
Chi3v,5.71898756301149
Chi4n,2.585270908920209
Chi4v,4.206386631939297
MolMR,110.72380000000003
MolWt,448.36300000000006
fr_SH,0
Kappa1,18.81990613519081
Kappa2,8.157624283361866
Kappa3,4.227630901531543
fr_ArN,0
fr_COO,1
