DLiP-ID,T007OL
DLiP-Mol-ID,25887
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H38N4O8/c1-22(2,3)34-21(32)25-15(9-5-6-10-23)19(30)26-11-7-8-14(13-26)18(29)24-16(12-17(27)28)20(31)33-4/h14-16H,5-13,23H2,1-4H3,(H,24,29)(H,25,32)(H,27,28)/t14?,15-,16-/m0/s1"
Standard Inchi Key(RDKit),YKPCSMLMBOPSAF-YVZMLIKISA-N
Canonical SMILES(RDKit),COC(=O)[C@H](CC(=O)O)NC(=O)C1CCCN(C(=O)[C@H](CCCCN)NC(=O)OC(C)(C)C)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),486.566
MW Monoisotopic(RDKit),486.268964176
MolLogP(RDKit),0.379800000000004
XLogP(SDF),
XLogP(CDK),-0.0520000000000003
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),12
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),177.36
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.237301885477637
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,10816457.874496154
qed,0.23730188547763714
Chi0,25.888540578131746
Chi1,15.872429677467677
TPSA,177.36
Chi0n,20.42552733168439
Chi0v,20.42552733168439
Chi1n,11.459081095739602
Chi1v,11.459081095739602
Chi2n,9.288874250485225
Chi2v,9.288874250485225
Chi3n,5.220776173547919
Chi3v,5.220776173547919
Chi4n,3.6114471273947304
Chi4v,3.6114471273947304
MolMR,121.56660000000005
MolWt,486.5660000000004
fr_SH,0
Kappa1,29.142144005143038
Kappa2,13.72900681748195
Kappa3,10.364245416939475
fr_ArN,0
fr_COO,1
fr_C_O,5
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,736.9064211708361
MolLogP,0.37980000000000413
NOCount,12
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.8639224133858003
SMR_VSA1,38.55293922279991
SMR_VSA2,0.0
SMR_VSA3,15.533486938863138
SMR_VSA4,11.651573523323577
SMR_VSA5,76.98087380590754
SMR_VSA6,26.74406675901526
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
