DLiP-ID,J1004A
DLiP-Mol-ID,36856
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H19N5O/c1-3-21(4-2)14-8-6-13(7-9-14)20-16(23)15-12-19-17-18-10-5-11-22(15)17/h5-12H,3-4H2,1-2H3,(H,20,23)"
Standard Inchi Key(RDKit),COQPJCSHDLRSCW-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(CC)c1ccc(NC(=O)c2cnc3ncccn23)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),309.373
MW Monoisotopic(RDKit),309.158960228
MolLogP(RDKit),2.8278
XLogP(SDF),
XLogP(CDK),2.683
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),62.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.786984848376535
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,281197.1204565599
qed,0.7869848483765348
Chi0,16.233840039752504
Chi1,11.223876650462412
TPSA,62.53
Chi0n,13.2301183883538
Chi0v,13.2301183883538
Chi1n,7.670132903937481
Chi1v,7.670132903937481
Chi2n,5.106421786393115
Chi2v,5.106421786393115
Chi3n,3.7749234105113487
Chi3v,3.7749234105113487
Chi4n,2.535265756497358
Chi4v,2.535265756497358
MolMR,90.94320000000003
MolWt,309.373
fr_SH,0
Kappa1,15.022975519589668
Kappa2,6.475861702665163
Kappa3,3.0102645237450694
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,805.2216078913141
MolLogP,2.8278000000000008
NOCount,6
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.7754496846352275
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,14.36865164815621
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,23.30621114668196
SMR_VSA7,54.61629405199574
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,134.34188220850461
NHOHCount,1
PEOE_VSA1,10.216698334856808
PEOE_VSA2,9.195231790333615
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,44.179309741689295
PEOE_VSA8,36.85797250441843
PEOE_VSA9,6.196843571613076
RingCount,3
SMR_VSA10,23.059606002637825
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,309.158960228
NumHDonors,1
PEOE_VSA10,5.693927994848461
PEOE_VSA11,0.0
PEOE_VSA12,5.777653723919194
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,10.216698334856808
SlogP_VSA2,33.365344189332866
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,24.33593957830153
SlogP_VSA6,48.92236605714728
SlogP_VSA7,0.0
SlogP_VSA8,5.777653723919194
SlogP_VSA9,0.0
fr_amidine,0
