DLiP-ID,C005JA
DLiP-Mol-ID,36676
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H15F3N4O3S/c1-17(26,18(19,20)21)11-2-5-14(23-8-11)15-6-3-12(9-24-15)29(27,28)13-4-7-16(22)25-10-13/h2-10,26H,1H3,(H2,22,25)"
Standard Inchi Key(RDKit),OLLSTZGMQOPNQB-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(O)(c1ccc(-c2ccc(S(=O)(=O)c3ccc(N)nc3)cn2)nc1)C(F)(F)F
SMILES(SDF),
MW(SDF),
MW(RDKit),424.404
MW Monoisotopic(RDKit),424.081696
MolLogP(RDKit),2.7234
XLogP(SDF),
XLogP(CDK),2.096
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),119.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.660882280325013
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Glucokinase/Glucokinase regulatory protein
Common Target Pref Name,Glucokinase/Glucokinase regulatory protein
RDKit Descriptors
Ipc,1957281.4345551725
qed,0.6608822803250136
Chi0,21.449382989376325
Chi1,13.425688491873755
TPSA,119.06
Chi0n,14.920995364315363
Chi0v,15.73749194524309
Chi1n,8.114303539500566
Chi1v,9.597466787094962
Chi2n,6.303432155368979
Chi2v,8.253114772337595
Chi3n,4.256177060579964
Chi3v,5.9803659779442935
Chi4n,2.374558334091084
Chi4v,3.5240627141077883
MolMR,97.19500000000002
MolWt,424.40400000000005
fr_SH,0
Kappa1,20.678300280657066
Kappa2,7.083080755901068
Kappa3,3.9131730069881128
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1113.012971990965
MolLogP,2.7234000000000007
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.8805337518911829
SMR_VSA1,26.695569522194106
SMR_VSA2,0.0
SMR_VSA3,14.951935562841626
SMR_VSA4,0.0
SMR_VSA5,28.492053479153334
SMR_VSA6,5.733667477162185
