DLiP-ID,C100RJ
DLiP-Mol-ID,20191
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C6H8O4/c1-9-5(7)3-4-6(8)10-2/h3-4H,1-2H3/b4-3+"
Standard Inchi Key(RDKit),LDCRTTXIJACKKU-ONEGZZNKSA-N
Canonical SMILES(RDKit),COC(=O)/C=C/C(=O)OC
SMILES(SDF),
MW(SDF),
MW(RDKit),144.126
MW Monoisotopic(RDKit),144.042258736
MolLogP(RDKit),-0.1114
XLogP(SDF),
XLogP(CDK),0.226
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),52.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),10
QED Weighted(RDKit),0.400477022695007
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,147.1575478646058
qed,0.40047702269500696
Chi0,7.983127663125442
Chi1,4.701907262607799
TPSA,52.60000000000001
Chi0n,5.787693700234704
Chi0v,5.787693700234704
Chi1n,2.5436767643784117
Chi1v,2.5436767643784117
Chi2n,1.379652811254895
Chi2v,1.379652811254895
Chi3n,0.7578677873714249
Chi3v,0.7578677873714249
Chi4n,0.2721655269759088
Chi4v,0.2721655269759088
MolMR,33.172
MolWt,144.12599999999998
fr_SH,0
Kappa1,8.679999999999998
Kappa2,4.548568030750281
Kappa3,3.6538498263888886
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
