DLiP-ID,T003TL
DLiP-Mol-ID,20813
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H18Cl3N3O4/c21-12-3-1-10(2-4-12)19(28)26-6-5-13-11(9-26)7-14(22)16(17(13)23)18(27)25-15(8-24)20(29)30/h1-4,7,15H,5-6,8-9,24H2,(H,25,27)(H,29,30)/t15-/m0/s1"
Standard Inchi Key(RDKit),MGUXSJCFRWRPFY-HNNXBMFYSA-N
Canonical SMILES(RDKit),NC[C@H](NC(=O)c1c(Cl)cc2c(c1Cl)CCN(C(=O)c1ccc(Cl)cc1)C2)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),470.74
MW Monoisotopic(RDKit),469.036289096
MolLogP(RDKit),2.987
XLogP(SDF),
XLogP(CDK),0.939000000000001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),112.73
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.621697096365541
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,3995246.696090621
qed,0.6216970963655404
Chi0,21.999271042140986
Chi1,14.222453108210816
TPSA,112.73
Chi0n,15.62294449049276
Chi0v,17.89073132854812
Chi1n,9.008659378282712
Chi1v,10.142552797310394
Chi2n,6.768637565328472
Chi2v,7.990237945550289
Chi3n,4.849338218225718
Chi3v,5.816509690900943
Chi4n,3.2601813633156733
Chi4v,4.150036537590515
MolMR,114.30290000000002
MolWt,470.74000000000024
fr_SH,0
Kappa1,22.3671135780763
Kappa2,9.221691824658858
Kappa3,4.542606518596582
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1011.3465512985155
MolLogP,2.987000000000001
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.848308228762982
SMR_VSA1,19.490138947056174
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,5.733667477162185
SMR_VSA5,19.007418857986547
