DLiP-ID,C0016R
DLiP-Mol-ID,31925
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1"
Standard Inchi Key(RDKit),LEVWYRKDKASIDU-IMJSIDKUSA-N
Canonical SMILES(RDKit),N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),240.306
MW Monoisotopic(RDKit),240.023848864
MolLogP(RDKit),-0.808399999999999
XLogP(SDF),
XLogP(CDK),-3.312
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),126.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.336024763208894
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,819.1139966635345
qed,0.33602476320889413
Chi0,11.137828201504695
Chi1,6.447264862732148
TPSA,126.64
Chi0n,7.251034991986967
Chi0v,8.88402815384242
Chi1n,3.659992338604133
Chi1v,6.148026210316717
Chi2n,2.4584970742948102
Chi2v,5.010781824125602
Chi3n,1.212927667707492
Chi3v,3.6864899550708774
Chi4n,0.3854108277347237
Chi4v,2.6132355636486913
MolMR,56.1384
MolWt,240.306
fr_SH,0
Kappa1,13.56
Kappa2,6.932440044673244
Kappa3,6.080830817534114
fr_ArN,0
fr_COO,2
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,2
fr_N_O,0
fr_azo,0
BertzCT,192.00818512452062
MolLogP,-0.8083999999999993
NOCount,6
fr_Ar_N,0
fr_COO2,2
fr_urea,0
BalabanJ,3.4681793958511196
SMR_VSA1,19.802129157825057
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,11.46733495432437
SMR_VSA5,12.083681658295921
SMR_VSA6,11.505707213493578
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,88.80143683539772
NHOHCount,6
PEOE_VSA1,21.68038974400578
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,21.587795952773448
PEOE_VSA7,0.0
PEOE_VSA8,11.505707213493578
PEOE_VSA9,0.0
RingCount,0
SMR_VSA10,33.52640652867714
fr_Al_COO,2
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,240.023848864
NumHDonors,4
PEOE_VSA10,12.083681658295921
PEOE_VSA11,0.0
PEOE_VSA12,0.0
