DLiP-ID,C000SQ
DLiP-Mol-ID,31306
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H12O2/c16-14(12-7-3-1-4-8-12)11-15(17)13-9-5-2-6-10-13/h1-10H,11H2"
Standard Inchi Key(RDKit),NZZIMKJIVMHWJC-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(CC(=O)c1ccccc1)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),224.259
MW Monoisotopic(RDKit),224.083729624
MolLogP(RDKit),3.1423
XLogP(SDF),
XLogP(CDK),3.659
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),34.14
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.590231549439488
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,10155.194650007224
qed,0.5902315494394876
Chi0,12.08757566981053
Chi1,8.270856947829095
TPSA,34.14
Chi0n,9.297106054010534
Chi0v,9.297106054010534
Chi1n,5.4367222766963295
Chi1v,5.4367222766963295
Chi2n,3.7551801732855337
Chi2v,3.7551801732855337
Chi3n,2.5126429501507013
Chi3v,2.5126429501507013
Chi4n,1.5980406142430519
Chi4v,1.5980406142430519
MolMR,66.16200000000003
MolWt,224.25900000000001
fr_SH,0
Kappa1,11.270907134056523
Kappa2,5.212185200658441
Kappa3,2.8772259754766867
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,465.63278782854474
MolLogP,3.1423000000000014
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.079926562733872
SMR_VSA1,9.589074368143644
