DLiP-ID,C005JG
DLiP-Mol-ID,36682
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H20F3N5O3S/c1-20(30,21(22,23)24)12-2-7-16(26-10-12)15-6-9-18(29-19(15)28-13-3-4-13)33(31,32)14-5-8-17(25)27-11-14/h2,5-11,13,30H,3-4H2,1H3,(H2,25,27)(H,28,29)"
Standard Inchi Key(RDKit),PXOBWRSOEJFIBJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(O)(c1ccc(-c2ccc(S(=O)(=O)c3ccc(N)nc3)nc2NC2CC2)nc1)C(F)(F)F
SMILES(SDF),
MW(SDF),
MW(RDKit),479.484
MW Monoisotopic(RDKit),479.12389516
MolLogP(RDKit),3.2977
XLogP(SDF),
XLogP(CDK),3.013
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),131.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.490900483385868
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Glucokinase/Glucokinase regulatory protein
Common Target Pref Name,Glucokinase/Glucokinase regulatory protein
RDKit Descriptors
Ipc,27620673.710238572
qed,0.4909004833858677
Chi0,24.01829709012867
Chi1,15.392014987062542
TPSA,131.09
Chi0n,17.335208926688466
Chi0v,18.15170550761619
