DLiP-ID,T004W2
DLiP-Mol-ID,19855
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H24N2O5/c22-17(23)10-14-2-1-13-9-15(3-4-16(13)18(14)24)21-19(25)26-11-12-5-7-20-8-6-12/h3-4,9,12,14,20H,1-2,5-8,10-11H2,(H,21,25)(H,22,23)"
Standard Inchi Key(RDKit),PJXBRJQEOCEKEL-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC1CCc2cc(NC(=O)OCC3CCNCC3)ccc2C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),360.41
MW Monoisotopic(RDKit),360.168521868
MolLogP(RDKit),2.4545
XLogP(SDF),
XLogP(CDK),1.331
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),104.73
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.744938253050157
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,779617.3855943077
qed,0.7449382530501569
Chi0,18.518297090128677
Chi1,12.524877143252588
TPSA,104.73000000000002
Chi0n,14.623812352795923
Chi0v,14.623812352795923
Chi1n,9.060942534272327
Chi1v,9.060942534272327
Chi2n,6.986475648036315
Chi2v,6.986475648036315
Chi3n,5.079905020772794
Chi3v,5.079905020772794
Chi4n,3.6008250477046233
Chi4v,3.6008250477046233
MolMR,95.40070000000007
MolWt,360.4100000000001
fr_SH,0
Kappa1,18.383145769224953
Kappa2,8.313148520887529
Kappa3,4.603523779816212
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,697.1699373429186
MolLogP,2.4545000000000003
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.5602457780525991
SMR_VSA1,24.22700190085622
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,11.835812092322787
SMR_VSA5,32.10410811463005
SMR_VSA6,25.0131833803444
SMR_VSA7,29.32600418877882
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,151.6560579486447
NHOHCount,3
PEOE_VSA1,15.160178952647087
PEOE_VSA2,14.905862972149976
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,68.4532580467724
PEOE_VSA8,17.16874381254195
PEOE_VSA9,13.027703587438928
RingCount,3
SMR_VSA10,23.533176579938765
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,360.16852186799997
NumHDonors,3
PEOE_VSA10,0.0
PEOE_VSA11,5.783244946364939
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,12.062545358890265
SlogP_VSA1,10.633577208012662
SlogP_VSA2,42.64871247643398
SlogP_VSA3,15.95222176079788
SlogP_VSA4,11.835812092322787
SlogP_VSA5,41.60472665916985
SlogP_VSA6,18.19910120538483
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.980451405051657
EState_VSA2,12.204066569290948
EState_VSA3,36.61726902290689
EState_VSA4,31.494607549374166
EState_VSA5,0.0
EState_VSA6,18.19910120538483
EState_VSA7,0.0
EState_VSA8,10.633577208012662
EState_VSA9,9.843390348640755
SlogP_VSA10,10.481923458755384
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
