DLiP-ID,P000GU
DLiP-Mol-ID,25968
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H16N2O2S/c1-9-11(5-2-6-12-9)13-10-4-3-7-16(14,15)8-10/h2,5-6,10,13H,3-4,7-8H2,1H3/t10-/m1/s1"
Standard Inchi Key(RDKit),UTGFIRRMSACIPX-SNVBAGLBSA-N
Canonical SMILES(RDKit),Cc1ncccc1N[C@@H]1CCCS(=O)(=O)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),240.328
MW Monoisotopic(RDKit),240.093248752
MolLogP(RDKit),1.37912
XLogP(SDF),
XLogP(CDK),1.024
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.848108922633598
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BAZ2B/H4
Common Target Pref Name,BAZ2B/H4
RDKit Descriptors
Ipc,4108.328919553189
qed,0.8481089226335979
Chi0,11.596011838247808
Chi1,7.567280126492685
TPSA,59.06
Chi0n,9.309786668396242
Chi0v,10.126283249323969
Chi1n,5.453002806804119
Chi1v,7.274370011850036
