DLiP-ID,C002VW
DLiP-Mol-ID,33242
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12O3/c17-14(8-6-12-4-2-1-3-5-12)13-7-9-15-16(10-13)19-11-18-15/h1-10H,11H2/b8-6+"
Standard Inchi Key(RDKit),VUPTWGBCLYTXFD-SOFGYWHQSA-N
Canonical SMILES(RDKit),O=C(/C=C/c1ccccc1)c1ccc2c(c1)OCO2
SMILES(SDF),
MW(SDF),
MW(RDKit),252.269
MW Monoisotopic(RDKit),252.078644244
MolLogP(RDKit),3.3114
XLogP(SDF),
XLogP(CDK),3.337
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),35.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.620674376663091
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,45773.48395226235
qed,0.6206743766630907
Chi0,13.079139501373252
Chi1,9.326499840494924
TPSA,35.53
Chi0n,10.205354344474397
Chi0v,10.205354344474397
Chi1n,5.999123781643926
Chi1v,5.999123781643926
Chi2n,4.176308212874475
Chi2v,4.176308212874475
Chi3n,2.8838178131149164
Chi3v,2.8838178131149164
Chi4n,1.8820942201259672
Chi4v,1.8820942201259672
MolMR,72.37150000000004
MolWt,252.26899999999998
fr_SH,0
Kappa1,11.535332804547558
Kappa2,4.980679594412557
Kappa3,2.4979331309028256
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,629.6972348110263
MolLogP,3.3114000000000017
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7916913358596984
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,6.792942306099827
SMR_VSA7,65.73385963792076
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,110.64144415649149
NHOHCount,0
PEOE_VSA1,9.473725907600098
