DLiP-ID,T001Z6
DLiP-Mol-ID,17948
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H19NO6/c1-24-13-7-5-11(6-8-13)16-17(20(23)21-19(16)22)12-9-14(25-2)18(27-4)15(10-12)26-3/h5-10H,1-4H3,(H,21,22,23)"
Standard Inchi Key(RDKit),GSUFQYZXJKYFNJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(C2=C(c3cc(OC)c(OC)c(OC)c3)C(=O)NC2=O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),369.373
MW Monoisotopic(RDKit),369.121237328
MolLogP(RDKit),2.2882
XLogP(SDF),
XLogP(CDK),2.432
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),83.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.786936245009137
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tubulin dimer
Common Target Pref Name,Tubulin dimer
RDKit Descriptors
Ipc,1451197.6516951325
qed,0.7869362450091374
Chi0,19.551677284948283
Chi1,13.031937062952862
TPSA,83.09
Chi0n,15.413591357920936
Chi0v,15.413591357920936
Chi1n,8.083805776672213
Chi1v,8.083805776672213
Chi2n,5.675764887692404
Chi2v,5.675764887692404
Chi3n,4.263282609477157
Chi3v,4.263282609477157
Chi4n,2.9891498317337515
Chi4v,2.9891498317337515
MolMR,99.05570000000004
MolWt,369.37300000000005
fr_SH,0
Kappa1,18.31524572282112
Kappa2,7.408448406763019
Kappa3,3.1901522094512287
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,904.9832771686779
MolLogP,2.2882000000000007
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2277526215970425
SMR_VSA1,28.536526183343838
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,28.439190165110134
SMR_VSA7,47.52510539416365
SMR_VSA8,0.0
SMR_VSA9,22.99804733313562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,4
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,156.03968735674343
NHOHCount,1
PEOE_VSA1,18.947451815200196
PEOE_VSA2,14.905862972149976
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,35.392371257240434
PEOE_VSA8,0.0
PEOE_VSA9,39.585399225248665
RingCount,3
SMR_VSA10,22.960568518841544
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,369.121237328
NumHDonors,1
PEOE_VSA10,5.749511833283905
PEOE_VSA11,11.49902366656781
PEOE_VSA12,5.749511833283905
PEOE_VSA13,11.814359458703011
PEOE_VSA14,0.0
SlogP_VSA1,24.264240419206526
SlogP_VSA2,40.25354962381314
SlogP_VSA3,9.589074368143644
SlogP_VSA4,0.0
SlogP_VSA5,11.126902983393991
SlogP_VSA6,36.39820241076966
SlogP_VSA7,0.0
SlogP_VSA8,11.146209060138535
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,4
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.814359458703011
EState_VSA2,11.146209060138535
EState_VSA3,34.12495031652961
EState_VSA4,0.0
EState_VSA5,21.3293926238326
EState_VSA6,43.50799995204719
EState_VSA7,0.0
EState_VSA8,5.316788604006331
EState_VSA9,18.947451815200196
SlogP_VSA10,0.0
SlogP_VSA11,22.99804733313562
