DLiP-ID,C000ZH
DLiP-Mol-ID,31606
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H18N2/c1-2-6-16(7-3-1)10-12-22-20-11-13-23-21-15-18-9-5-4-8-17(18)14-19(20)21/h1-9,11,13-15H,10,12H2,(H,22,23)"
Standard Inchi Key(RDKit),MRCKFNLDQYXIPD-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc(CCNc2ccnc3cc4ccccc4cc23)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),298.389
MW Monoisotopic(RDKit),298.146998576
MolLogP(RDKit),5.0426
XLogP(SDF),
XLogP(CDK),4.905
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),24.92
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.533685780869249
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,366909.69395603397
qed,0.5336857808692486
Chi0,15.48491689530907
Chi1,11.39897948556636
TPSA,24.92
Chi0n,12.866980657338193
Chi0v,12.866980657338193
Chi1n,7.953655346703671
Chi1v,7.953655346703671
Chi2n,5.73739549513682
Chi2v,5.73739549513682
Chi3n,4.180969441194921
Chi3v,4.180969441194921
Chi4n,2.9730336793385383
Chi4v,2.9730336793385383
MolMR,97.88470000000002
MolWt,298.38900000000007
fr_SH,0
Kappa1,13.769635668916965
Kappa2,6.091007399812988
Kappa3,2.882450387990616
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,945.4042010679444
