DLiP-ID,T0027N
DLiP-Mol-ID,18315
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H29FN4O4/c1-27(17-35-22-10-5-19(6-11-22)26(29)30)16-31(2)23-12-9-21(13-24(23)36-27)32(15-25(33)34)14-18-3-7-20(28)8-4-18/h3-13H,14-17H2,1-2H3,(H3,29,30)(H,33,34)"
Standard Inchi Key(RDKit),HLYDCJKHIOYAQB-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1CC(C)(COc2ccc(C(=N)N)cc2)Oc2cc(N(CC(=O)O)Cc3ccc(F)cc3)ccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),492.551
MW Monoisotopic(RDKit),492.217283628
MolLogP(RDKit),3.86727
XLogP(SDF),
XLogP(CDK),3.143
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),112.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.3071031260737
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,84701041.66396008
qed,0.3071031260737
Chi0,25.871668241257186
Chi1,17.114812639064308
TPSA,112.11
Chi0n,20.200980485922397
Chi0v,20.200980485922397
Chi1n,11.444528217599895
Chi1v,11.444528217599895
Chi2n,9.1630528195014
Chi2v,9.1630528195014
Chi3n,5.970075498783848
Chi3v,5.970075498783848
Chi4n,4.234991716780151
Chi4v,4.234991716780151
MolMR,136.78389999999993
MolWt,492.5510000000003
fr_SH,0
Kappa1,24.841946720076365
Kappa2,10.150032242985398
Kappa3,5.856726547563111
fr_ArN,1
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1249.6334167339003
MolLogP,3.867270000000002
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.5286048344235543
SMR_VSA1,23.765205534187444
SMR_VSA2,5.409283605791522
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,19.069544416586886
