DLiP-ID,P000G1
DLiP-Mol-ID,25806
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H18N2O2/c1-11-9-16(20)17(2)14-10-12(6-7-13(11)14)18-8-4-3-5-15(18)19/h6-7,9-10H,3-5,8H2,1-2H3"
Standard Inchi Key(RDKit),TVJZEYRKRPKMHK-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(=O)n(C)c2cc(N3CCCCC3=O)ccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),270.332
MW Monoisotopic(RDKit),270.136827816
MolLogP(RDKit),2.36382
XLogP(SDF),
XLogP(CDK),3.042
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),42.31
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.798029689196858
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD9/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,42929.14645941139
qed,0.7980296891968581
Chi0,14.27565640300939
Chi1,9.57538740046941
TPSA,42.31
Chi0n,11.848751973432337
Chi0v,11.848751973432337
Chi1n,6.98505437447606
Chi1v,6.98505437447606
Chi2n,5.428540221290504
Chi2v,5.428540221290504
Chi3n,4.073161227426989
Chi3v,4.073161227426989
Chi4n,2.8562834402753916
Chi4v,2.8562834402753916
MolMR,80.13000000000004
MolWt,270.33199999999994
fr_SH,0
Kappa1,12.909822984268072
Kappa2,4.779017013232514
Kappa3,2.0106737829016694
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,745.9606623142273
MolLogP,2.3638200000000005
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.1709966197378128
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,4.567099647791355
SMR_VSA4,7.04767198267719
SMR_VSA5,26.186202068468653
SMR_VSA6,11.444666136763054
SMR_VSA7,40.182723844667265
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
