DLiP-ID,I000WR
DLiP-Mol-ID,29066
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H27Cl2N3O2/c1-13(2)10-19-24(17-9-8-16(26)12-18(17)27-23(24)31)20(14-6-5-7-15(25)11-14)21(28-19)22(30)29(3)4/h5-9,11-13,19-21,28H,10H2,1-4H3,(H,27,31)/t19-,20+,21-,24+/m1/s1"
Standard Inchi Key(RDKit),PBDZIMHWKNPOPX-WHLIWEHUSA-N
Canonical SMILES(RDKit),CC(C)C[C@H]1N[C@@H](C(=O)N(C)C)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)ccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),460.405
MW Monoisotopic(RDKit),459.148032464
MolLogP(RDKit),4.4418
XLogP(SDF),
XLogP(CDK),4.559
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),61.44
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.709424241264628
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,8743210.997942388
qed,0.7094242412646281
Chi0,22.499271042140986
Chi1,14.65564542505701
TPSA,61.440000000000005
Chi0n,18.077598864718574
Chi0v,19.58945675675548
Chi1n,10.500229089190679
Chi1v,11.256158035209134
Chi2n,9.104860650265586
Chi2v,9.977732211209554
Chi3n,6.427215589591865
Chi3v,6.897409795167342
Chi4n,5.280193448310856
Chi4v,5.651023926678797
MolMR,124.81340000000002
MolWt,460.40500000000014
fr_SH,0
Kappa1,22.126022575235087
Kappa2,8.119258557281395
Kappa3,3.527703600817133
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1039.234519650077
MolLogP,4.441800000000003
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9993320562571981
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,5.917906046161393
SMR_VSA5,43.684874196161346
SMR_VSA6,19.41213256936071
SMR_VSA7,63.63673909010791
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,192.64527508253215
NHOHCount,2
PEOE_VSA1,15.533486938863138
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,55.24845538523111
PEOE_VSA7,47.73109892632783
PEOE_VSA8,41.787743742829946
PEOE_VSA9,6.041840829147961
RingCount,4
SMR_VSA10,40.703625513851605
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,459.14803246400004
NumHDonors,2
PEOE_VSA10,5.41499046939678
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012662
SlogP_VSA2,42.89329481320379
