DLiP-ID,C002HJ
DLiP-Mol-ID,31219
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H20O5/c1-21-14-7-5-13(18(11-14)23-3)6-10-17(20)16-9-8-15(22-2)12-19(16)24-4/h5-12H,1-4H3/b10-6+"
Standard Inchi Key(RDKit),SSDJNESHQBSBBC-UXBLZVDNSA-N
Canonical SMILES(RDKit),COc1ccc(/C=C/C(=O)c2ccc(OC)cc2OC)c(OC)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),328.364
MW Monoisotopic(RDKit),328.13107374
MolLogP(RDKit),3.6171
XLogP(SDF),
XLogP(CDK),3.508
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),53.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.573852689455027
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,261276.91735450408
qed,0.5738526894550271
Chi0,17.526733258565955
Chi1,11.621253460429902
TPSA,53.99000000000001
Chi0n,14.160043605836323
Chi0v,14.160043605836323
Chi1n,7.29036523396324
Chi1v,7.29036523396324
Chi2n,4.871678815836589
Chi2v,4.871678815836589
Chi3n,3.529063645778639
Chi3v,3.529063645778639
Chi4n,2.2134536534366127
Chi4v,2.2134536534366127
MolMR,92.45650000000005
MolWt,328.3640000000001
fr_SH,0
Kappa1,17.404584766635303
Kappa2,8.057779601939087
Kappa3,3.8694064535435584
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,749.4175214318741
MolLogP,3.6171000000000024
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2773414754365966
SMR_VSA1,23.741988999272017
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,28.439190165110134
SMR_VSA7,53.60112550099753
SMR_VSA8,0.0
SMR_VSA9,22.99804733313562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,4
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,140.96919211222428
NHOHCount,0
PEOE_VSA1,18.947451815200196
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,36.417508487514205
PEOE_VSA8,17.696185628620217
PEOE_VSA9,34.00264165680713
RingCount,2
