DLiP-ID,T005U4
DLiP-Mol-ID,23027
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H18Cl2N6O5/c1-32-19-26-18(27-20(28-19)33-2)25-14(17(30)31)7-10-3-5-11(6-4-10)24-16(29)15-12(21)8-23-9-13(15)22/h3-6,8-9,14H,7H2,1-2H3,(H,24,29)(H,30,31)(H,25,26,27,28)/t14-/m0/s1"
Standard Inchi Key(RDKit),SFFGYEDNVYYGDY-AWEZNQCLSA-N
Canonical SMILES(RDKit),COc1nc(N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)nc(OC)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),493.307
MW Monoisotopic(RDKit),492.071573036
MolLogP(RDKit),2.9507
XLogP(SDF),
XLogP(CDK),0.709000000000001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),11
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),148.45
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.406285034038391
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,18638418.81298127
qed,0.40628503403839106
Chi0,23.957454678884098
Chi1,15.799264050931823
TPSA,148.45
Chi0n,17.373548750887625
Chi0v,18.885406642924533
Chi1n,9.330472423091162
Chi1v,10.086401369109616
Chi2n,6.500891814661569
Chi2v,7.315292068142781
Chi3n,4.293062848110185
Chi3v,4.866207335709118
Chi4n,2.72274761903044
Chi4v,3.2590437342027334
MolMR,120.33370000000004
MolWt,493.30700000000013
fr_SH,0
Kappa1,23.952553358715512
Kappa2,10.747421388134464
Kappa3,6.175628216008507
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,4
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1119.6823284192758
MolLogP,2.9507000000000003
NOCount,11
fr_Ar_N,4
fr_COO2,1
fr_urea,0
BalabanJ,1.7051713399826351
SMR_VSA1,24.169327670584444
SMR_VSA2,0.0
SMR_VSA3,19.935914083788834
SMR_VSA4,0.0
SMR_VSA5,12.462662452073971
SMR_VSA6,24.853172290567727
