DLiP-ID,J0003P
DLiP-Mol-ID,26830
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H30N4O3/c1-2-3-14-25-15-12-21(13-16-25)26(18-19-8-5-4-6-9-19)23(28)24-20-10-7-11-22(17-20)27(29)30/h4-11,17,21H,2-3,12-16,18H2,1H3,(H,24,28)"
Standard Inchi Key(RDKit),GSTFNVSLEKQBPH-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCCN1CCC(N(Cc2ccccc2)C(=O)Nc2cccc([N+](=O)[O-])c2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),410.518
MW Monoisotopic(RDKit),410.23179082
MolLogP(RDKit),4.8934
XLogP(SDF),
XLogP(CDK),4.406
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),78.72
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.496176572542445
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,6209234.864274521
qed,0.4961765725424446
Chi0,21.346724214874865
Chi1,14.562881945713373
TPSA,78.72
Chi0n,17.496742599280104
Chi0v,17.496742599280104
Chi1n,10.648803626492935
Chi1v,10.648803626492935
