DLiP-ID,C004RV
DLiP-Mol-ID,35689
Vendor-ID,
Standard Inchi(RDKit),InChI=1S/C12H6N2O2/c15-11-7-3-1-5-13-9(7)10-8(12(11)16)4-2-6-14-10/h1-6H
Standard Inchi Key(RDKit),KCALAFIVPCAXJI-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1C(=O)c2cccnc2-c2ncccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),210.192
MW Monoisotopic(RDKit),210.042927432
MolLogP(RDKit),1.5226
XLogP(SDF),
XLogP(CDK),0.782
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),59.92
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.618368440675696
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Ras and Rab interactor 1/Tyrosine-protein kinase ABL1
Common Target Pref Name,Ras and Rab interactor 1/Tyrosine-protein kinase ABL1
RDKit Descriptors
Ipc,7742.282350831335
qed,0.6183684406756955
Chi0,11.120955864630139
Chi1,7.787693700234702
TPSA,59.92
Chi0n,8.1750253870654
Chi0v,8.1750253870654
Chi1n,4.7825432679811035
Chi1v,4.7825432679811035
Chi2n,3.457386954693665
Chi2v,3.457386954693665
Chi3n,2.5352094237898593
Chi3v,2.5352094237898593
Chi4n,1.7990894728806044
Chi4v,1.7990894728806044
MolMR,56.12900000000002
MolWt,210.192
fr_SH,0
Kappa1,8.909124351619887
Kappa2,3.064489164884434
Kappa3,1.037434880038696
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,564.4207548553663
MolLogP,1.5226
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.414775645683774
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,47.78605840046659
SMR_VSA8,0.0
SMR_VSA9,11.387855989696922
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,90.97489056280553
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,19.55703141003806
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,24.26546827384644
PEOE_VSA8,12.393687143226153
PEOE_VSA9,11.126902983393991
RingCount,3
SMR_VSA10,11.566489892729878
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,2
fr_lactam,0
fr_phenol,0
ExactMolWt,210.042927432
NumHDonors,0
PEOE_VSA10,11.387855989696922
PEOE_VSA11,0.0
PEOE_VSA12,11.566489892729878
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,21.534446934624295
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,20.715977351537635
SlogP_VSA6,36.6591554170726
SlogP_VSA7,0.0
SlogP_VSA8,11.387855989696922
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.566489892729878
EState_VSA2,0.0
EState_VSA3,22.514758973090913
EState_VSA4,0.0
EState_VSA5,0.0
EState_VSA6,36.6591554170726
EState_VSA7,0.0
EState_VSA8,9.967957041894417
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
