DLiP-ID,C002WY
DLiP-Mol-ID,32981
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10N2O6/c1-23-15(22)6-2-3-8(19)13-11(6)16-14-10(21)4-9(20)7(5-18)12(14)17-13/h2-5,19-21H,1H3"
Standard Inchi Key(RDKit),CRANETCJDDEINO-UHFFFAOYSA-N
Canonical SMILES(RDKit),COC(=O)c1ccc(O)c2nc3c(C=O)c(O)cc(O)c3nc12
SMILES(SDF),
MW(SDF),
MW(RDKit),314.253
MW Monoisotopic(RDKit),314.05388604
MolLogP(RDKit),1.4989
XLogP(SDF),
XLogP(CDK),1.249
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),129.84
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.368379289251434
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,161736.0512353895
qed,0.36837928925143354
Chi0,16.723250160202095
Chi1,10.972764210436898
TPSA,129.84000000000003
Chi0n,11.770213925649886
Chi0v,11.770213925649886
Chi1n,6.3941554318804945
Chi1v,6.3941554318804945
Chi2n,4.688209145703145
Chi2v,4.688209145703145
Chi3n,3.371720437913306
Chi3v,3.371720437913306
Chi4n,2.276071193214711
