DLiP-ID,C000SU
DLiP-Mol-ID,31310
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12N2O2/c17-9-13-15(10-4-2-1-3-5-10)12-7-6-11(19)8-14(12)20-16(13)18/h1-8,15,19H,18H2"
Standard Inchi Key(RDKit),CTILPMYYGZYYLB-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#CC1=C(N)Oc2cc(O)ccc2C1c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),264.284
MW Monoisotopic(RDKit),264.089877624
MolLogP(RDKit),2.61038
XLogP(SDF),
XLogP(CDK),2.494
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),79.27
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.82935432573205
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,48564.45264724345
qed,0.8293543257320503
Chi0,14.11251969619286
Chi1,9.702708600407234
TPSA,79.27000000000001
Chi0n,10.57617817336004
Chi0v,10.57617817336004
Chi1n,6.1588798985786175
Chi1v,6.1588798985786175
Chi2n,4.557616709029253
Chi2v,4.557616709029253
Chi3n,3.33555609340964
Chi3v,3.33555609340964
Chi4n,2.4324869042848847
Chi4v,2.4324869042848847
MolMR,73.84620000000002
MolWt,264.284
fr_SH,0
Kappa1,12.121709967060337
Kappa2,4.63188273780915
Kappa3,1.8580729561799423
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,729.8872465421784
MolLogP,2.61038
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2284610847148865
SMR_VSA1,9.843390348640755
SMR_VSA2,5.261891554738487
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,5.917906046161393
SMR_VSA6,0.0
