DLiP-ID,C100IR
DLiP-Mol-ID,36479
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H13NO4/c1-19-12-4-2-3-10(7-12)9-16-13-8-11(17)5-6-14(13)20-15(16)18/h2-8,17H,9H2,1H3"
Standard Inchi Key(RDKit),IEPREYQBPQGZJF-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(Cn2c(=O)oc3ccc(O)cc32)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),271.272
MW Monoisotopic(RDKit),271.084457896
MolLogP(RDKit),2.357
XLogP(SDF),
XLogP(CDK),2.352
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),64.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.79384268295653
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
Common Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
RDKit Descriptors
Ipc,53182.67692502947
qed,0.7938426829565303
Chi0,14.11251969619286
Chi1,9.669035095596021
TPSA,64.60000000000001
Chi0n,10.867730727905435
Chi0v,10.867730727905435
Chi1n,6.124747498010143
Chi1v,6.124747498010143
Chi2n,4.457671297671536
Chi2v,4.457671297671536
Chi3n,3.1258085553503694
Chi3v,3.1258085553503694
Chi4n,2.153624262656531
Chi4v,2.153624262656531
MolMR,74.2348
MolWt,271.272
fr_SH,0
Kappa1,12.349246012281293
Kappa2,4.770068368061583
Kappa3,2.1361421732243686
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,816.0967321348245
MolLogP,2.357
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.0741308838533454
SMR_VSA1,14.260541285694101
SMR_VSA2,0.0
