DLiP-ID,T007UR
DLiP-Mol-ID,26160
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H11N5O2/c17-14-13-16(19-15(18-14)10-6-2-1-3-7-10)21(23)12-9-5-4-8-11(12)20(13)22/h1-9H,(H2,17,18,19)"
Standard Inchi Key(RDKit),YWSUTRFYAQHJFZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1nc(-c2ccccc2)nc2c1[n+]([O-])c1ccccc1[n+]2[O-]
SMILES(SDF),
MW(SDF),
MW(RDKit),305.297
MW Monoisotopic(RDKit),305.091274592
MolLogP(RDKit),1.299
XLogP(SDF),
XLogP(CDK),3.394
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),105.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.323967052231887
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bcl-2 and Bcl-XL with BAX; BAK and BID
Common Target Pref Name,"BCL-like/BAX,BAK"
RDKit Descriptors
Ipc,282546.56719672796
qed,0.3239670522318874
Chi0,15.97432701575866
Chi1,11.164703797946451
TPSA,105.67999999999999
Chi0n,11.87885365482382
Chi0v,11.87885365482382
Chi1n,6.930711759977342
Chi1v,6.930711759977342
Chi2n,5.048162510135459
Chi2v,5.048162510135459
Chi3n,3.639359685635307
Chi3v,3.639359685635307
Chi4n,2.5548221256000594
Chi4v,2.5548221256000594
MolMR,84.81240000000003
MolWt,305.297
fr_SH,0
Kappa1,13.201552454656449
Kappa2,4.770540771702366
Kappa3,1.9041859640831755
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1050.629696444546
MolLogP,1.2989999999999997
NOCount,7
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,2.1443320544527773
SMR_VSA1,9.460815283812451
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.733667477162185
SMR_VSA7,65.01180966570907
SMR_VSA8,0.0
SMR_VSA9,11.387855989696924
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,129.9867964863688
NHOHCount,2
PEOE_VSA1,16.148173526716764
PEOE_VSA2,0.0
PEOE_VSA3,4.7304076419062255
PEOE_VSA4,9.714386162853433
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,23.18307972633204
PEOE_VSA8,11.629818560158606
