DLiP-ID,T002O1
DLiP-Mol-ID,19025
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H27N7O7S/c1-11-16(12(2)32-24-11)34(30,31)26-15(18(28)29)10-23-17(27)14-9-13(33-25-14)5-3-4-6-20-19-21-7-8-22-19/h7-8,13,15,26H,3-6,9-10H2,1-2H3,(H,23,27)(H,28,29)(H2,20,21,22)/t13?,15-/m0/s1"
Standard Inchi Key(RDKit),IUUVGCZLXIUONK-WUJWULDRSA-N
Canonical SMILES(RDKit),Cc1noc(C)c1S(=O)(=O)N[C@@H](CNC(=O)C1=NOC(CCCCNc2ncc[nH]2)C1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),497.534
MW Monoisotopic(RDKit),497.169267204
MolLogP(RDKit),0.289540000000001
XLogP(SDF),
XLogP(CDK),0.0629999999999999
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),10
HBA Lipinski(RDKit),14
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),200.9
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),13
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.239417263957915
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,36509350.96647341
qed,0.23941726395791477
Chi0,24.716967702877934
Chi1,16.169540980499768
TPSA,200.89999999999998
Chi0n,18.698634179124664
Chi0v,19.51513076005239
Chi1n,10.592194552594878
Chi1v,12.075357800189268
Chi2n,7.705294399703736
Chi2v,9.356118525949665
Chi3n,5.03748465625
Chi3v,6.752629868322046
Chi4n,3.3636623732906594
Chi4v,4.882110965643453
MolMR,118.58540000000006
MolWt,497.53400000000033
fr_SH,0
Kappa1,25.16836000814467
Kappa2,11.10876221276401
Kappa3,6.537957987606572
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,4
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1108.5644501486609
MolLogP,0.28954000000000124
NOCount,14
fr_Ar_N,3
fr_COO2,1
fr_urea,0
BalabanJ,1.419473715741744
SMR_VSA1,32.47408226802327
SMR_VSA2,0.0
SMR_VSA3,25.16350376747828
SMR_VSA4,5.15571272675054
SMR_VSA5,56.57205158349933
SMR_VSA6,18.406301415831482
SMR_VSA7,23.847862556949057
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,1
fr_quatN,0
LabuteASA,195.11160222230885
NHOHCount,5
PEOE_VSA1,30.08476664451056
PEOE_VSA2,9.589074368143644
PEOE_VSA3,13.401775505276145
PEOE_VSA4,4.722094864452088
PEOE_VSA5,0.0
PEOE_VSA6,10.312375983875985
PEOE_VSA7,33.10993926815928
PEOE_VSA8,31.90402157797731
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,33.55980045446813
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,497.16926720400005
NumHDonors,5
PEOE_VSA10,28.446903690033203
PEOE_VSA11,11.708586699860938
PEOE_VSA12,10.023291153407584
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,15.355672072464749
SlogP_VSA2,71.47243472698499
SlogP_VSA3,24.44995410528786
SlogP_VSA4,13.847474399381248
SlogP_VSA5,37.137461905426946
SlogP_VSA6,26.967978282467815
SlogP_VSA7,0.0
SlogP_VSA8,0.0
