DLiP-ID,J100HL
DLiP-Mol-ID,37335
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H21N9S2.ClH/c1-10-8-12(26-15-18-20-21-23(15)7-6-22(2)3)24-13(16-10)17-14(19-24)25-9-11-4-5-11;/h8,11H,4-7,9H2,1-3H3;1H"
Standard Inchi Key(RDKit),VXRNQBIFXQDZHX-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(Sc2nnnn2CC[NH+](C)C)n2nc(SCC3CC3)nc2n1.[Cl-]
SMILES(SDF),
MW(SDF),
MW(RDKit),427.991
MW Monoisotopic(RDKit),427.112811384
MolLogP(RDKit),-2.77898
XLogP(SDF),
XLogP(CDK),2.424
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),10
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.304819373798097
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,1263713.690607684
qed,0.3048193737980968
Chi0,18.0956473593183
Chi1,12.580520035918413
TPSA,91.12
Chi0n,15.46240426224861
Chi0v,17.851326370122514
Chi1n,8.685385047231746
Chi1v,10.487480187812956
Chi2n,6.8400914167360645
Chi2v,8.814797219466934
Chi3n,4.05166379353551
Chi3v,6.095769672968196
Chi4n,2.3792512441459963
Chi4v,4.318941348739379
MolMR,98.58470000000004
MolWt,427.9910000000002
fr_SH,0
Kappa1,20.308016555346505
Kappa2,8.717505318259231
Kappa3,5.093665679371544
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,8
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,905.9649041419623
MolLogP,-2.7789799999999962
NOCount,9
fr_Ar_N,8
fr_COO2,0
fr_urea,0
BalabanJ,2.1024976352944945e-06
SMR_VSA1,17.306942892030456
SMR_VSA2,0.0
SMR_VSA3,39.78929167856704
SMR_VSA4,5.917906046161393
SMR_VSA5,41.648969793765886
SMR_VSA6,26.392953978013743
SMR_VSA7,11.760295063310071
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,1
LabuteASA,171.6552866372045
NHOHCount,1
PEOE_VSA1,17.306942892030456
PEOE_VSA2,0.0
PEOE_VSA3,9.665781456092393
PEOE_VSA4,9.499376414562832
PEOE_VSA5,10.197363616602075
PEOE_VSA6,11.761884949391115
PEOE_VSA7,53.9383087008665
PEOE_VSA8,11.44678160159525
PEOE_VSA9,27.18485677717953
RingCount,4
SMR_VSA10,29.301423622701424
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,427.11281138400005
NumHDonors,1
PEOE_VSA10,5.025959978669241
PEOE_VSA11,0.0
