DLiP-ID,T000SN
DLiP-Mol-ID,16483
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H26N6O4/c1-23-18(29)25(14-4-2-13(3-5-14)16(20)21)12-19(23)7-10-24(11-8-19)17(28)22-9-6-15(26)27/h2-5H,6-12H2,1H3,(H3,20,21)(H,22,28)(H,26,27)"
Standard Inchi Key(RDKit),CGRDRUHVCGVDIV-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1C(=O)N(c2ccc(C(=N)N)cc2)CC12CCN(C(=O)NCCC(=O)O)CC2
SMILES(SDF),
MW(SDF),
MW(RDKit),402.455
MW Monoisotopic(RDKit),402.201553312
MolLogP(RDKit),0.861370000000002
XLogP(SDF),
XLogP(CDK),-0.0410000000000002
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),143.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.426637131287397
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,2802555.2255281997
qed,0.42663713128739733
Chi0,21.181433796945203
Chi1,13.731688471543452
TPSA,143.05999999999997
Chi0n,16.350098067645387
Chi0v,16.350098067645387
Chi1n,9.47771940835324
Chi1v,9.47771940835324
Chi2n,7.475342998267538
Chi2v,7.475342998267538
Chi3n,5.768220459750404
Chi3v,5.768220459750404
Chi4n,3.8823623136200576
Chi4v,3.8823623136200576
MolMR,107.15260000000006
MolWt,402.4550000000002
fr_SH,0
Kappa1,20.43466355615217
Kappa2,7.9785052533512735
Kappa3,4.102402586309705
fr_ArN,1
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,816.4931966051769
MolLogP,0.8613700000000009
NOCount,10
fr_Ar_N,0
fr_COO2,1
fr_urea,2
BalabanJ,1.6281677348119858
SMR_VSA1,19.490138947056174
SMR_VSA2,5.409283605791522
SMR_VSA3,15.116608065707286
SMR_VSA4,5.733667477162185
SMR_VSA5,24.801390121161372
SMR_VSA6,38.12660733717797
SMR_VSA7,29.828919765543436
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,4
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,168.29739324241743
NHOHCount,5
PEOE_VSA1,25.95680293771018
PEOE_VSA2,15.103730520713821
PEOE_VSA3,9.589074368143644
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,37.107111519698464
PEOE_VSA8,37.932778966795475
PEOE_VSA9,18.50450328122193
RingCount,3
SMR_VSA10,29.554540373068825
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,402.20155331199993
NumHDonors,4
PEOE_VSA10,5.835619785757269
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,18.031534312627993
SlogP_VSA1,15.950365812018994
SlogP_VSA2,77.53912381363777
SlogP_VSA3,4.794537184071822
SlogP_VSA4,5.409283605791522
SlogP_VSA5,24.825916360475023
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,1
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
