DLiP-ID,C001TD
DLiP-Mol-ID,32882
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H24N2O4/c1-15-12-16(2)22-17(13-15)19(26)14-21(29-22)23(27)25-10-8-24(9-11-25)18-6-4-5-7-20(18)28-3/h4-7,12-14H,8-11H2,1-3H3"
Standard Inchi Key(RDKit),KMNLBGGFYZAQND-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccccc1N1CCN(C(=O)c2cc(=O)c3cc(C)cc(C)c3o2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),392.455
MW Monoisotopic(RDKit),392.173607248
MolLogP(RDKit),3.38084
XLogP(SDF),
XLogP(CDK),4.706
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),62.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.683810386987166
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,4328951.557887607
qed,0.6838103869871657
Chi0,20.543241116511002
Chi1,13.973565548236333
TPSA,62.99
Chi0n,16.89729936192894
Chi0v,16.89729936192894
Chi1n,9.700394752949334
Chi1v,9.700394752949334
Chi2n,7.384502954429857
Chi2v,7.384502954429857
Chi3n,5.3621598593943185
Chi3v,5.3621598593943185
Chi4n,3.911787889496199
Chi4v,3.911787889496199
MolMR,113.06850000000003
MolWt,392.4550000000002
fr_SH,0
Kappa1,19.054564443168502
Kappa2,7.621059420106889
Kappa3,3.5778779560251923
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1127.4162698761577
MolLogP,3.380840000000002
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5501897079061724
SMR_VSA1,13.948551074925216
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,38.188732895778315
SMR_VSA7,69.57504745747207
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,168.84494121295006
NHOHCount,0
PEOE_VSA1,18.95383335255435
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,43.173478588160066
PEOE_VSA8,32.24539269211191
PEOE_VSA9,18.18340803042589
RingCount,4
SMR_VSA10,22.563810360142107
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,392.173607248
NumHDonors,0
PEOE_VSA10,11.332531974926148
PEOE_VSA11,11.189037810774984
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,15.065563076551069
SlogP_VSA2,44.09591262512981
SlogP_VSA3,0.0
SlogP_VSA4,13.847474399381248
SlogP_VSA5,21.681687586340253
SlogP_VSA6,51.67625760035644
SlogP_VSA7,0.0
SlogP_VSA8,10.969244356107037
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,17.09621754012649
EState_VSA3,37.14826997975734
EState_VSA4,22.56380109136146
EState_VSA5,6.06636706846161
EState_VSA6,18.07607434058962
EState_VSA7,44.179309741689295
EState_VSA8,4.899909730850478
EState_VSA9,9.154013890853395
SlogP_VSA10,5.687386274683562
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
