DLiP-ID,T007XJ
DLiP-Mol-ID,26267
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H15N7/c1-2-8-15(9-3-1)20-22(27-21(29-28-20)18-12-6-7-13-23-18)26-19-14-24-16-10-4-5-11-17(16)25-19/h1-14H,(H,25,26,27,29)"
Standard Inchi Key(RDKit),ZEEUKGDEIRTJNY-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc(-c2nnc(-c3ccccn3)nc2Nc2cnc3ccccc3n2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),377.411
MW Monoisotopic(RDKit),377.13889348
MolLogP(RDKit),4.2874
XLogP(SDF),
XLogP(CDK),3.402
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),89.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.49962478095002
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,9432849.46110642
qed,0.4996247809500198
Chi0,19.468044558434503
Chi1,14.365305980755144
TPSA,89.37
Chi0n,15.266185341654515
Chi0v,15.266185341654515
Chi1n,9.070636302396364
Chi1v,9.070636302396364
Chi2n,6.282584131008491
Chi2v,6.282584131008491
Chi3n,4.322974352175359
Chi3v,4.322974352175359
Chi4n,2.9458251103111563
Chi4v,2.9458251103111563
MolMR,111.3147
MolWt,377.4110000000001
fr_SH,0
Kappa1,16.880589035477044
Kappa2,7.396386308376045
Kappa3,3.4851472429446773
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,6
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1274.393287239988
MolLogP,4.287400000000002
NOCount,7
fr_Ar_N,6
fr_COO2,0
