DLiP-ID,P000KI
DLiP-Mol-ID,24241
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H10Cl2N2O3/c17-9-3-1-2-8(6-9)13-14(16(23)20-15(13)22)19-10-4-5-12(21)11(18)7-10/h1-7,21H,(H2,19,20,22,23)"
Standard Inchi Key(RDKit),YYGKSMKAYKZSBC-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(O)c(Cl)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),349.173
MW Monoisotopic(RDKit),348.00684754
MolLogP(RDKit),3.1786
XLogP(SDF),
XLogP(CDK),3.986
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),78.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.587526713745977
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,176845.7960277453
qed,0.5875267137459769
Chi0,16.560113453385565
Chi1,10.952397498181154
TPSA,78.43
Chi0n,11.56109100677352
Chi0v,13.07294889881043
Chi1n,6.569220637981573
Chi1v,7.3251495840000285
Chi2n,4.8347863825945225
Chi2v,5.678422289807114
Chi3n,3.2614976926126573
Chi3v,3.79932811110924
Chi4n,2.2228515349826328
Chi4v,2.5936820133505725
MolMR,88.26120000000002
MolWt,349.173
fr_SH,0
Kappa1,15.397777777777778
Kappa2,5.946870126977055
Kappa3,3.015717712410049
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,862.1538948434522
MolLogP,3.1786000000000003
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
