DLiP-ID,P000GY
DLiP-Mol-ID,25980
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H20N4O4S2/c26-20-17-13-19-16(12-18(31-19)14-3-1-4-15(11-14)25(27)28)24(17)21(30)23(20)6-2-5-22-7-9-29-10-8-22/h1,3-4,11-13H,2,5-10H2"
Standard Inchi Key(RDKit),UXGUZFZBZPPZGL-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1c2cc3sc(-c4cccc([N+](=O)[O-])c4)cc3n2C(=S)N1CCCN1CCOCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),456.549
MW Monoisotopic(RDKit),456.09259712
MolLogP(RDKit),3.5891
XLogP(SDF),
XLogP(CDK),2.615
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),80.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.320390680424115
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,TNFR1A/TNFB
Common Target Pref Name,TNFR1A/TNFB
RDKit Descriptors
Ipc,20096531.9820661
qed,0.3203906804241154
Chi0,21.534804948073717
Chi1,15.024877143252588
TPSA,80.84999999999998
Chi0n,16.652193208226603
Chi0v,18.28518637008205
Chi1n,10.091614815779858
Chi1v,11.316359687171447
Chi2n,7.579499224945218
Chi2v,9.028424553102155
Chi3n,5.67751632565296
Chi3v,7.200846198812887
Chi4n,4.09086076493698
Chi4v,5.539390462793581
MolMR,122.81390000000003
MolWt,456.5490000000004
fr_SH,0
Kappa1,20.254281201320687
Kappa2,8.11739648938896
Kappa3,3.6512709065631714
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,1
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1195.4238502167002
MolLogP,3.589100000000003
NOCount,8
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.3588054221007047
SMR_VSA1,14.454711186689542
SMR_VSA2,0.0
SMR_VSA3,14.366919109492311
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,39.392789552676135
SMR_VSA7,52.20644867438369
SMR_VSA8,0.0
SMR_VSA9,10.440598685398296
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,187.30896439749043
NHOHCount,0
PEOE_VSA1,4.736862953800049
PEOE_VSA2,29.275774562329705
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,12.13273413692322
PEOE_VSA7,36.334880694592925
