DLiP-ID,T007YJ
DLiP-Mol-ID,26320
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H22N4O4/c1-3-13(11-17(25)26-4-2)21-15(23)9-10-16(24)22-14-7-5-12(6-8-14)18(19)20/h1,5-8,13H,4,9-11H2,2H3,(H3,19,20)(H,21,23)(H,22,24)/t13-/m1/s1"
Standard Inchi Key(RDKit),ZHCINJQZDFCSEL-CYBMUJFWSA-N
Canonical SMILES(RDKit),C#C[C@H](CC(=O)OCC)NC(=O)CCC(=O)Nc1ccc(C(=N)N)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),358.398
MW Monoisotopic(RDKit),358.164105184
MolLogP(RDKit),0.76057
XLogP(SDF),
XLogP(CDK),0.701
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),134.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.223702699777839
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,371191.8816321401
qed,0.22370269977783938
Chi0,19.52673325856595
Chi1,12.349774308148643
TPSA,134.37
Chi0n,14.502872170929026
Chi0v,14.502872170929026
Chi1n,8.00725470237794
Chi1v,8.00725470237794
Chi2n,5.335113480982098
Chi2v,5.335113480982098
Chi3n,3.2713044843309187
Chi3v,3.2713044843309187
