DLiP-ID,C002XL
DLiP-Mol-ID,26679
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H18N4/c1-17(2,3)21-15-12-8-4-5-9-13(12)19-16(20-15)14-10-6-7-11-18-14/h4-11H,1-3H3,(H,19,20,21)"
Standard Inchi Key(RDKit),ANHHGBGCYMUJMS-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)(C)Nc1nc(-c2ccccn2)nc2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),278.359
MW Monoisotopic(RDKit),278.153146576
MolLogP(RDKit),3.9022
XLogP(SDF),
XLogP(CDK),3.624
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),50.7
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.772017699721858
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,65861.6580121991
qed,0.7720176997218581
Chi0,14.872032720186706
Chi1,10.027788004768043
TPSA,50.7
Chi0n,12.460442940016884
Chi0v,12.460442940016884
Chi1n,6.992258282281496
Chi1v,6.992258282281496
Chi2n,6.002947352229771
Chi2v,6.002947352229771
Chi3n,2.9906222144841688
Chi3v,2.9906222144841688
Chi4n,2.13666961098199
Chi4v,2.13666961098199
MolMR,86.14470000000004
MolWt,278.35900000000004
fr_SH,0
Kappa1,13.491100893571794
Kappa2,5.12738439535651
Kappa3,2.993750569740544
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,760.5921611651795
MolLogP,3.9022000000000023
NOCount,4
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,2.1966244379875515
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,14.951935562841626
SMR_VSA4,0.0
SMR_VSA5,26.310136851455216
SMR_VSA6,5.316788604006331
SMR_VSA7,48.661413050844345
SMR_VSA8,0.0
SMR_VSA9,11.518332492848387
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,123.83873644133021
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,45.03667987291831
PEOE_VSA8,17.121993038461216
PEOE_VSA9,5.516700717616262
RingCount,3
SMR_VSA10,16.720787709916085
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,278.153146576
NumHDonors,1
PEOE_VSA10,11.51179077268349
PEOE_VSA11,5.824404497999927
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,20.49086081522497
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,20.771211599071872
SlogP_VSA6,48.661413050844345
SlogP_VSA7,0.0
SlogP_VSA8,22.421257424929443
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.538925252383345
EState_VSA3,5.824404497999927
EState_VSA4,22.414715704764546
EState_VSA5,0.0
EState_VSA6,6.196843571613076
EState_VSA7,42.46456947923127
EState_VSA8,41.03993576591983
EState_VSA9,0.0
SlogP_VSA10,5.817862777835028
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
