DLiP-ID,I000BM
DLiP-Mol-ID,28158
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H22N2O4S/c1-12-17(13(2)23-18-12)14-7-8-15(22-3)16(11-14)24(20,21)19-9-5-4-6-10-19/h7-8,11H,4-6,9-10H2,1-3H3"
Standard Inchi Key(RDKit),FQYFUEBMHGUHFN-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)N1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),350.44
MW Monoisotopic(RDKit),350.130028184
MolLogP(RDKit),3.14164
XLogP(SDF),
XLogP(CDK),2.886
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),72.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.846860289309224
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bromodomain_Histone
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,328268.85048664594
qed,0.8468602893092239
Chi0,17.319626477379405
Chi1,11.446725536263529
TPSA,72.64
Chi0n,14.203253356820849
Chi0v,15.019749937748575
Chi1n,8.063198632659343
