DLiP-ID,T007H5
DLiP-Mol-ID,25558
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H21FN4O4/c1-12(22)23-17-4-2-3-14(9-17)20(29)25-24-18(26)10-15(11-19(27)28)13-5-7-16(21)8-6-13/h2-9,15H,10-11H2,1H3,(H2,22,23)(H,24,26)(H,25,29)(H,27,28)"
Standard Inchi Key(RDKit),XWCYVLXEYIXHEK-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=N)Nc1cccc(C(=O)NNC(=O)CC(CC(=O)O)c2ccc(F)cc2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),400.41
MW Monoisotopic(RDKit),400.154683372
MolLogP(RDKit),2.64437
XLogP(SDF),
XLogP(CDK),2.496
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),131.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.276971302043191
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1859968.728777086
qed,0.2769713020431909
Chi0,21.388540578131746
Chi1,13.74009119841586
TPSA,131.38
Chi0n,15.660288924980504
Chi0v,15.660288924980504
Chi1n,8.729974376751311
Chi1v,8.729974376751311
Chi2n,6.383566555640735
Chi2v,6.383566555640735
Chi3n,3.966272491491317
Chi3v,3.966272491491317
Chi4n,2.6817653902462673
Chi4v,2.6817653902462673
MolMR,105.08510000000003
MolWt,400.4100000000001
fr_SH,0
Kappa1,21.548956916099772
Kappa2,9.975659928656361
Kappa3,7.055436179981634
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,4
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,914.9521462981975
MolLogP,2.6443700000000003
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.9732068771389943
SMR_VSA1,23.880553994730995
SMR_VSA2,5.409283605791522
SMR_VSA3,10.85158279422077
SMR_VSA4,0.0
SMR_VSA5,25.683286491704035
SMR_VSA6,5.316788604006331
SMR_VSA7,65.47506037213277
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,166.1574432663113
NHOHCount,5
PEOE_VSA1,10.423315998847038
PEOE_VSA2,30.644477952227753
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,42.81902403369567
PEOE_VSA8,23.58956543546796
PEOE_VSA9,12.25644140868328
RingCount,2
SMR_VSA10,29.306670807095692
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,400.15468337199997
NumHDonors,5
PEOE_VSA10,5.817220841045895
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,16.1683713982271
SlogP_VSA2,28.725811927252835
