DLiP-ID,C001JG
DLiP-Mol-ID,32468
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H13ClN2S/c11-9-2-1-3-10(13-9)14-8-4-6-12-7-5-8/h1-3,8,12H,4-7H2"
Standard Inchi Key(RDKit),GGALEXMXDMUMDM-UHFFFAOYSA-N
Canonical SMILES(RDKit),Clc1cccc(SC2CCNCC2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),228.748
MW Monoisotopic(RDKit),228.048797096
MolLogP(RDKit),2.5791
XLogP(SDF),
XLogP(CDK),2.241
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),24.92
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.788138277090058
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2199.3975969006065
qed,0.7881382770900583
Chi0,9.803118619434356
Chi1,6.843336592900531
TPSA,24.92
Chi0n,7.871254560477743
Chi0v,9.443680087423925
Chi1n,4.843642535602586
Chi1v,6.101259819866708
Chi2n,3.3657581727070234
Chi2v,5.073652287181472
Chi3n,2.263149205005062
Chi3v,3.7472525175044047
Chi4n,1.5393218171428107
Chi4v,2.8743391340275557
MolMR,60.99570000000003
MolWt,228.74799999999996
fr_SH,0
Kappa1,10.273987359954036
Kappa2,5.007066666666667
Kappa3,2.8703593605496103
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,299.92840188787534
MolLogP,2.5791000000000004
NOCount,2
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.9534150210817456
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,23.117541254503433
SMR_VSA6,13.08951281182515
SMR_VSA7,23.352211022277622
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,93.44616895475225
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,11.761884949391115
PEOE_VSA6,17.667306958694127
PEOE_VSA7,38.06389019460039
PEOE_VSA8,5.249938029982174
PEOE_VSA9,5.025959978669241
RingCount,2
SMR_VSA10,23.36282483962363
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,228.048797096
NumHDonors,1
PEOE_VSA10,5.153109816892792
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
