DLiP-ID,P000JS
DLiP-Mol-ID,26552
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H19ClF2N4O/c1-2-17(29)27-7-9-28(10-8-27)21-14-11-15(22)18(13-5-3-4-6-16(13)23)19(24)20(14)25-12-26-21/h3-6,11-12H,2,7-10H2,1H3"
Standard Inchi Key(RDKit),YGUHAAHXXMAGAS-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC(=O)N1CCN(c2ncnc3c(F)c(-c4ccccc4F)c(Cl)cc23)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),416.859
MW Monoisotopic(RDKit),416.121545348
MolLogP(RDKit),4.287
XLogP(SDF),
XLogP(CDK),4.71
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),49.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.638859223904501
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,KRAS/SOS1
Common Target Pref Name,KRAS/SOS1
RDKit Descriptors
Ipc,4535603.643558642
qed,0.6388592239045009
Chi0,20.543241116511005
Chi1,14.007239053047547
TPSA,49.330000000000005
Chi0n,15.830631612561872
Chi0v,16.586560558580327
Chi1n,9.412167599466434
Chi1v,9.79013207247566
Chi2n,6.8420496385553715
Chi2v,7.2492497652959775
Chi3n,5.177719951295217
Chi3v,5.475811132917825
Chi4n,3.6703226110724154
Chi4v,3.9641914327160013
MolMR,108.98400000000004
MolWt,416.8590000000001
fr_SH,0
Kappa1,19.51356727340965
Kappa2,7.9079475308642
Kappa3,3.5058694595796167
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1083.7093102524345
MolLogP,4.2870000000000035
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.7545815801503875
SMR_VSA1,13.575367279421462
SMR_VSA2,0.0
SMR_VSA3,14.867866772744893
