DLiP-ID,C003DM
DLiP-Mol-ID,33880
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C3H7NO5S2/c4-2(3(5)6)1-10-11(7,8)9/h2H,1,4H2,(H,5,6)(H,7,8,9)/t2-/m0/s1"
Standard Inchi Key(RDKit),NOKPBJYHPHHWAN-REOHCLBHSA-N
Canonical SMILES(RDKit),N[C@@H](CSS(=O)(=O)O)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),201.225
MW Monoisotopic(RDKit),200.976564324
MolLogP(RDKit),-1.0657
XLogP(SDF),
XLogP(CDK),-4.104
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),117.69
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),11
QED Weighted(RDKit),0.391383140902224
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,140.74551362780613
qed,0.391383140902224
Chi0,9.068914100752346
Chi1,4.827185821959347
TPSA,117.69000000000001
Chi0n,5.297475962885031
Chi0v,6.930469124740483
Chi1n,2.4292370218037886
Chi1v,5.371735662663524
Chi2n,1.6569794801293156
Chi2v,5.0522939174362165
Chi3n,0.71372683972149
Chi3v,2.8086120303451336
Chi4n,0.23057747796295786
Chi4v,1.6474663586847091
MolMR,39.6178
MolWt,201.225
fr_SH,0
Kappa1,10.69
Kappa2,3.90441914542027
Kappa3,6.1027966976264185
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,234.11208517174683
MolLogP,-1.0656999999999999
NOCount,6
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,3.817433669612366
SMR_VSA1,22.87161143693183
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,6.041840829147961
SMR_VSA6,5.752853606746789
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,66.91648992763078
NHOHCount,4
PEOE_VSA1,10.84019487200289
PEOE_VSA2,9.347287057762186
PEOE_VSA3,0.0
PEOE_VSA4,8.417796984328938
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,10.793897976386724
PEOE_VSA8,5.752853606746789
PEOE_VSA9,0.0
RingCount,0
SMR_VSA10,25.913343150367737
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,200.976564324
NumHDonors,3
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,15.119445173981012
SlogP_VSA1,5.733667477162185
SlogP_VSA2,35.8410739767066
SlogP_VSA3,13.944677070100983
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,0.0
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
