DLiP-ID,C000PB
DLiP-Mol-ID,31160
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H11NO2/c18-15-10-14(17-11-6-2-1-3-7-11)12-8-4-5-9-13(12)16(15)19/h1-10,17H"
Standard Inchi Key(RDKit),NMSRYZBDOYDJBJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1C=C(Nc2ccccc2)c2ccccc2C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),249.269
MW Monoisotopic(RDKit),249.078978592
MolLogP(RDKit),2.905
XLogP(SDF),
XLogP(CDK),2.977
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),46.17
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.832279781794855
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,33018.218092916526
qed,0.8322797817948551
Chi0,13.242276208189782
Chi1,9.25402019542349
TPSA,46.17
Chi0n,10.089999272823986
Chi0v,10.089999272823986
Chi1n,5.973632431366075
Chi1v,5.973632431366075
Chi2n,4.287996803002431
Chi2v,4.287996803002431
Chi3n,3.013881107553335
Chi3v,3.013881107553335
Chi4n,2.1035132958437885
Chi4v,2.1035132958437885
MolMR,73.82120000000003
MolWt,249.269
fr_SH,0
Kappa1,11.412656509219886
Kappa2,4.534955515932041
Kappa3,2.0605138368685596
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,686.9049381134768
MolLogP,2.905000000000001
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.040969334873438
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
SMR_VSA7,71.80022670638236
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,110.12573798112953
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,42.46456947923127
PEOE_VSA7,12.13273413692322
PEOE_VSA8,22.890309364911435
PEOE_VSA9,5.697039313055833
RingCount,3
SMR_VSA10,22.950915480469273
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,2
fr_lactam,0
fr_phenol,0
ExactMolWt,249.078978592
NumHDonors,1
