DLiP-ID,I0013U
DLiP-Mol-ID,29375
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H24N4O2/c29-16-20-13-19(7-9-25-20)27-18-5-6-23-24(14-18)30-12-11-28(23)10-8-17-15-26-22-4-2-1-3-21(17)22/h1-7,9,13-15,26,29H,8,10-12,16H2,(H,25,27)"
Standard Inchi Key(RDKit),SJVHAVXPNJDJPK-UHFFFAOYSA-N
Canonical SMILES(RDKit),OCc1cc(Nc2ccc3c(c2)OCCN3CCc2c[nH]c3ccccc23)ccn1
SMILES(SDF),
MW(SDF),
MW(RDKit),400.482
MW Monoisotopic(RDKit),400.189926008
MolLogP(RDKit),4.2403
XLogP(SDF),
XLogP(CDK),3.27
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),73.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.451474459177959
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,15822712.698915523
qed,0.4514744591779595
Chi0,20.338288046437583
Chi1,14.797157633333281
TPSA,73.41
Chi0n,16.636275943982362
Chi0v,16.636275943982362
Chi1n,10.196094991520534
Chi1v,10.196094991520534
Chi2n,7.446479113970407
Chi2v,7.446479113970407
Chi3n,5.5124829739488845
Chi3v,5.5124829739488845
Chi4n,3.990175333863409
Chi4v,3.990175333863409
MolMR,119.59520000000002
MolWt,400.482
fr_SH,0
Kappa1,18.51427799747451
Kappa2,8.082925768860528
Kappa3,3.6930709365551917
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1170.809641071405
MolLogP,4.240300000000002
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.3151089542497019
SMR_VSA1,9.843390348640755
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,13.027703587438928
SMR_VSA6,29.91309311119488
SMR_VSA7,78.2483702459261
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,1
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,174.69241871928912
NHOHCount,3
PEOE_VSA1,25.044067204444772
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,42.316108456931055
