DLiP-ID,C000UZ
DLiP-Mol-ID,31416
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H13ClN4O2/c17-12-6-8-15(9-7-12)21-10-14(19-20-21)11-23-16(22)18-13-4-2-1-3-5-13/h1-10H,11H2,(H,18,22)"
Standard Inchi Key(RDKit),LYDVUNMUKWQJAS-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1ccccc1)OCc1cn(-c2ccc(Cl)cc2)nn1
SMILES(SDF),
MW(SDF),
MW(RDKit),328.759
MW Monoisotopic(RDKit),328.072703336
MolLogP(RDKit),3.6694
XLogP(SDF),
XLogP(CDK),3.296
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),69.04
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.793016598528267
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,283398.1959805822
qed,0.7930165985282671
Chi0,16.070703332935974
Chi1,11.203509938206668
TPSA,69.03999999999999
Chi0n,12.016711313519636
Chi0v,12.772640259538091
Chi1n,6.8655974795673735
Chi1v,7.243561952576601
Chi2n,4.698023932726681
Chi2v,5.134459713198666
Chi3n,3.0033374223417626
Chi3v,3.2553137376812473
Chi4n,1.8994637328406714
Chi4v,2.025451890510414
MolMR,86.61870000000002
MolWt,328.759
fr_SH,0
Kappa1,15.051788250673834
Kappa2,6.933140526690529
Kappa3,4.076427941953035
fr_ArN,0
fr_COO,0
