DLiP-ID,C001GX
DLiP-Mol-ID,32348
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H10INO/c14-12-9-5-4-8-11(12)13(16)15-10-6-2-1-3-7-10/h1-9H,(H,15,16)"
Standard Inchi Key(RDKit),LJOZMWRYMKECFF-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1ccccc1)c1ccccc1I
SMILES(SDF),
MW(SDF),
MW(RDKit),323.133
MW Monoisotopic(RDKit),322.98071194
MolLogP(RDKit),3.5435
XLogP(SDF),
XLogP(CDK),4.061
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),29.1
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.841714586543135
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,5744.988995136991
qed,0.8417145865431347
Chi0,11.380468888623982
Chi1,7.770856947829096
TPSA,29.1
Chi0n,8.482365186179724
Chi0v,10.639863477356046
Chi1n,4.881140253449131
Chi1v,5.9598893990372925
Chi2n,3.2999958270719776
Chi2v,4.462186509459462
Chi3n,2.1501404853526402
Chi3v,3.0908188750757697
Chi4n,1.3652672344089487
Chi4v,1.9976071453680604
MolMR,73.55420000000002
MolWt,323.133
fr_SH,0
Kappa1,11.135156363446079
Kappa2,5.115512288924944
Kappa3,2.605055575701967
fr_ArN,0
