DLiP-ID,J1007U
DLiP-Mol-ID,36984
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H19NO3/c1-3-19(22)15-9-11-17(12-10-15)23-13-18-14(2)21-24-20(18)16-7-5-4-6-8-16/h4-12H,3,13H2,1-2H3"
Standard Inchi Key(RDKit),UDYUXEMRLGGKDC-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC(=O)c1ccc(OCc2c(C)noc2-c2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),321.376
MW Monoisotopic(RDKit),321.136493468
MolLogP(RDKit),4.82172
XLogP(SDF),
XLogP(CDK),4.588
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),52.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.610663379707587
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,449082.6103759322
qed,0.6106633797075871
Chi0,16.94094682093905
Chi1,11.685871848001627
TPSA,52.33
Chi0n,13.782324451971277
Chi0v,13.782324451971277
Chi1n,7.953492923817614
Chi1v,7.953492923817614
Chi2n,5.531469577458093
Chi2v,5.531469577458093
Chi3n,3.9012413803572796
Chi3v,3.9012413803572796
Chi4n,2.471739400042532
Chi4v,2.471739400042532
MolMR,92.07150000000003
MolWt,321.376
fr_SH,0
Kappa1,15.994630332491234
Kappa2,7.129395030156216
Kappa3,3.376344636015985
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,819.850116201577
MolLogP,4.8217200000000044
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.7557271575213156
SMR_VSA1,14.054495074845217
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
SMR_VSA5,26.875177986820177
SMR_VSA6,0.0
SMR_VSA7,71.41813459439695
SMR_VSA8,0.0
SMR_VSA9,17.07321074385534
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,140.61070298395137
NHOHCount,0
PEOE_VSA1,9.259957890773396
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,42.41223579912412
PEOE_VSA7,31.189205473537065
PEOE_VSA8,17.54772460632
PEOE_VSA9,11.257379486545457
RingCount,3
SMR_VSA10,5.783244946364939
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,321.136493468
NumHDonors,0
PEOE_VSA10,12.356393797796823
PEOE_VSA11,11.54349236523938
PEOE_VSA12,0.0
PEOE_VSA13,0.0
