DLiP-ID,T001NE
DLiP-Mol-ID,17445
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H15ClN2O3/c21-16-9-7-15(8-10-16)20(25)18-6-2-1-5-17(18)19(24)23(20)13-14-4-3-11-22(26)12-14/h1-12,25H,13H2"
Standard Inchi Key(RDKit),FTMXAQLXSXCMFL-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc[n+]([O-])c1
SMILES(SDF),
MW(SDF),
MW(RDKit),366.804
MW Monoisotopic(RDKit),366.07712002
MolLogP(RDKit),2.8228
XLogP(SDF),
XLogP(CDK),3.996
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),67.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.572218132881219
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,1100567.536447309
qed,0.5722181328812194
Chi0,18.311190308942127
Chi1,12.497055696919675
TPSA,67.48
Chi0n,13.671411851898888
Chi0v,14.427340797917344
Chi1n,8.075414307017809
Chi1v,8.453378780027037
Chi2n,6.188080080700721
Chi2v,6.624515861172706
Chi3n,4.5926259457980825
Chi3v,4.844602261137567
Chi4n,3.3682624164489994
Chi4v,3.494250574118742
MolMR,96.16830000000002
MolWt,366.8040000000001
fr_SH,0
Kappa1,16.571571194901928
Kappa2,6.124348350562506
Kappa3,2.5281953232792937
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,990.3562838568159
MolLogP,2.822800000000001
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.8562378203221597
SMR_VSA1,14.631472220818754
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,12.269741999882829
SMR_VSA6,0.0
SMR_VSA7,105.54105013314886
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,154.83133418982626
NHOHCount,1
PEOE_VSA1,10.313780419617995
PEOE_VSA2,9.694446914922299
PEOE_VSA3,0.0
PEOE_VSA4,4.7304076419062255
PEOE_VSA5,0.0
PEOE_VSA6,41.932775232540564
PEOE_VSA7,24.26546827384644
PEOE_VSA8,33.34280634899092
PEOE_VSA9,6.544756405912575
RingCount,4
SMR_VSA10,17.508119619584022
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,366.07712002
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,18.118672737196405
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
