DLiP-ID,T000LX
DLiP-Mol-ID,16190
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H36N2O3/c1-4-28(2,3)25(31)27(33)30-20-12-11-17-24(30)26(32)29-19-18-23(21-13-7-5-8-14-21)22-15-9-6-10-16-22/h5-10,13-16,23-24H,4,11-12,17-20H2,1-3H3,(H,29,32)/t24-/m0/s1"
Standard Inchi Key(RDKit),BSZHHQAWHNWNHZ-DEOSSOPVSA-N
Canonical SMILES(RDKit),CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)NCCC(c1ccccc1)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),448.607
MW Monoisotopic(RDKit),448.272593012
MolLogP(RDKit),4.7112
XLogP(SDF),
XLogP(CDK),4.677
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),66.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.565078745466663
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,23489382.073863283
qed,0.5650787454666631
Chi0,23.846724214874854
Chi1,15.847372437654418
TPSA,66.48
Chi0n,20.049909165472897
Chi0v,20.049909165472897
Chi1n,12.078508641340957
Chi1v,12.078508641340957
Chi2n,9.530343242715608
Chi2v,9.530343242715608
Chi3n,6.895246104396162
Chi3v,6.895246104396162
Chi4n,4.381685784518906
Chi4v,4.381685784518906
MolMR,130.7847
MolWt,448.6070000000001
fr_SH,0
Kappa1,24.687702887210644
Kappa2,11.262175151299394
Kappa3,6.0959426382010955
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,900.6295568985238
MolLogP,4.711200000000004
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.6632192202327707
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,5.41499046939678
SMR_VSA5,64.83506658901128
SMR_VSA6,13.08951281182515
SMR_VSA7,71.7905736680101
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,197.11600215632015
NHOHCount,1
PEOE_VSA1,10.216698334856808
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,81.43488228368798
PEOE_VSA7,43.23101109802404
PEOE_VSA8,24.42240932738332
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,17.59760440506795
