DLiP-ID,I000FP
DLiP-Mol-ID,28334
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H26N2O4S/c1-5-21(16-8-6-7-9-16)26(22,23)18-12-15(10-11-17(18)24-4)19-13(2)20-25-14(19)3/h10-12,16H,5-9H2,1-4H3"
Standard Inchi Key(RDKit),HONVADOKRZTBCS-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(C1CCCC1)S(=O)(=O)c1cc(-c2c(C)noc2C)ccc1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),378.494
MW Monoisotopic(RDKit),378.161328312
MolLogP(RDKit),3.92024
XLogP(SDF),
XLogP(CDK),3.704
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),72.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.761649552982806
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bromodomain_Histone
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,905604.8926864008
qed,0.7616495529828058
Chi0,18.89697674656903
Chi1,12.395413941247272
TPSA,72.64
Chi0n,15.780603626010475
Chi0v,16.5971002069382
Chi1n,9.028773118503938
Chi1v,10.46883644730458
Chi2n,6.7114665361880075
Chi2v,8.570443021896821
Chi3n,5.115948300631903
Chi3v,7.164598089816091
Chi4n,3.871897980422538
Chi4v,5.749296092591202
MolMR,99.78680000000006
MolWt,378.49400000000014
fr_SH,0
Kappa1,18.91702372429312
Kappa2,7.404179606036687
Kappa3,3.254273569345494
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,863.439236608318
MolLogP,3.9202400000000033
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.1125091977877806
SMR_VSA1,17.677754875102334
SMR_VSA2,0.0
SMR_VSA3,9.46187924842168
SMR_VSA4,0.0
SMR_VSA5,57.39182239544165
SMR_VSA6,13.65455394719011
SMR_VSA7,29.653276619107732
SMR_VSA8,0.0
SMR_VSA9,16.876414816677897
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,154.73157565891586
NHOHCount,0
PEOE_VSA1,9.259957890773396
PEOE_VSA2,0.0
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.305215991296234
PEOE_VSA5,0.0
PEOE_VSA6,30.988410771129697
PEOE_VSA7,44.38530327385348
PEOE_VSA8,18.150048726757532
PEOE_VSA9,12.803725536125995
RingCount,3
SMR_VSA10,10.023291153407584
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,378.16132831199997
NumHDonors,0
PEOE_VSA10,16.40524272767612
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.736862953800049
SlogP_VSA2,37.576071009088686
SlogP_VSA3,10.023291153407584
SlogP_VSA4,13.847474399381248
SlogP_VSA5,44.06119910511756
SlogP_VSA6,27.61767961787595
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
