DLiP-ID,I000D6
DLiP-Mol-ID,28229
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H36FN5O3/c1-14(28-6)24(34)30-23(26(3,4)5)25(35)31-10-9-21-22(31)19(13-32(21)15(2)33)18-12-29-20-8-7-16(27)11-17(18)20/h7-8,11-12,14,19,21-23,28-29H,9-10,13H2,1-6H3,(H,30,34)/t14-,19+,21+,22+,23+/m0/s1"
Standard Inchi Key(RDKit),GJCUTOLOYKMWFU-GAVFAVEISA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@@H]2[C@H]1[C@@H](c1c[nH]c3ccc(F)cc13)CN2C(C)=O)C(C)(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),485.604
MW Monoisotopic(RDKit),485.280218232
MolLogP(RDKit),2.361
XLogP(SDF),
XLogP(CDK),2.073
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),97.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.60577349571025
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,56329026.73656405
qed,0.6057734957102503
Chi0,25.65397158052024
Chi1,16.433777973616003
TPSA,97.53999999999999
Chi0n,21.314609301667012
Chi0v,21.314609301667012
Chi1n,12.25537004448347
Chi1v,12.25537004448347
Chi2n,10.908032130003136
Chi2v,10.908032130003136
Chi3n,7.61453698634259
Chi3v,7.61453698634259
Chi4n,5.615331539105129
Chi4v,5.615331539105129
MolMR,132.1981
MolWt,485.60400000000027
fr_SH,0
Kappa1,25.161851637922314
Kappa2,9.257782849974186
Kappa3,4.533984479778445
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,3
fr_NH2,0
