DLiP-ID,I000DW
DLiP-Mol-ID,28268
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H27N3O4/c1-16-15-25(23(29)19-7-5-4-6-8-19)13-14-26(16)22(28)17(2)30-20-11-9-18(10-12-20)21(27)24-3/h4-12,16-17H,13-15H2,1-3H3,(H,24,27)/t16-,17-/m1/s1"
Standard Inchi Key(RDKit),GTKRGUHTQKGJJW-IAGOWNOFSA-N
Canonical SMILES(RDKit),CNC(=O)c1ccc(O[C@H](C)C(=O)N2CCN(C(=O)c3ccccc3)C[C@H]2C)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),409.486
MW Monoisotopic(RDKit),409.200156344
MolLogP(RDKit),2.1866
XLogP(SDF),
XLogP(CDK),2.791
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),78.95
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.821134887759038
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,5495729.111607122
qed,0.8211348877590381
Chi0,21.67299762850792
Chi1,14.401085903164898
TPSA,78.95
Chi0n,17.4995936575009
Chi0v,17.4995936575009
Chi1n,10.039969395627681
Chi1v,10.039969395627681
Chi2n,7.361428056654858
Chi2v,7.361428056654858
Chi3n,5.222714919776463
Chi3v,5.222714919776463
Chi4n,3.55005998141205
Chi4v,3.55005998141205
MolMR,113.44270000000003
MolWt,409.4860000000001
fr_SH,0
Kappa1,21.361055069762344
Kappa2,9.43192018082543
Kappa3,4.790046850205286
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,898.4240522161894
MolLogP,2.1865999999999994
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5755048458861924
SMR_VSA1,19.120474506015512
SMR_VSA2,0.0
SMR_VSA3,15.116608065707286
SMR_VSA4,0.0
SMR_VSA5,25.99328161627751
SMR_VSA6,26.681941200414915
SMR_VSA7,65.72420659954848
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,176.16467048404743
NHOHCount,1
