DLiP-ID,T003F0
DLiP-Mol-ID,20174
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H22N2O3S/c23-20(21-16-18-10-5-2-6-11-18)19-12-7-14-22(19)26(24,25)15-13-17-8-3-1-4-9-17/h1-6,8-11,13,15,19H,7,12,14,16H2,(H,21,23)/b15-13+"
Standard Inchi Key(RDKit),LCEHMKFPACVQAI-FYWRMAATSA-N
Canonical SMILES(RDKit),O=C(NCc1ccccc1)C1CCCN1S(=O)(=O)/C=C/c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),370.474
MW Monoisotopic(RDKit),370.135113564
MolLogP(RDKit),2.7679
XLogP(SDF),
XLogP(CDK),3.203
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),66.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.850233723987728
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,1126811.172745578
qed,0.850233723987728
Chi0,18.407566626119436
Chi1,12.560480075219148
TPSA,66.48
Chi0n,14.414187381566741
Chi0v,15.230683962494467
Chi1n,8.627566459779123
Chi1v,10.130786018906935
Chi2n,6.230523663274474
Chi2v,8.001650441301006
Chi3n,4.374808459249167
Chi3v,5.94562263475606
Chi4n,3.0164929445143027
Chi4v,4.44136980032108
MolMR,102.41250000000002
MolWt,370.47400000000005
fr_SH,0
Kappa1,18.35404439154489
Kappa2,8.293027466054934
Kappa3,4.589914681433302
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,864.4440115241051
MolLogP,2.767900000000002
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.6626260621067115
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,9.622004595302565
SMR_VSA4,0.0
SMR_VSA5,25.428240480912553
SMR_VSA6,6.544756405912575
SMR_VSA7,77.19862575866478
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,153.9445939012906
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,4.794537184071822
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.305215991296234
PEOE_VSA5,0.0
PEOE_VSA6,60.6636706846161
PEOE_VSA7,30.04456633607989
